model,operation,modulus,train_fraction,label_permutation,loss,optimizer,lr,weight_decay,n,alternative,observed,p,p_bh,significant_bh,p_by,significant_by,observable
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,3.0,5,greater,0.09955002333741982,1.0,1.0,False,1.0,False,h1_total_persistence__ratio
transformer,add,97,0.3,False,stablemax_ce,orthograd_adamw,0.001,0.0,5,greater,0.9734775925615613,0.5273736313184341,0.6905904704764761,False,1.0,False,h1_total_persistence__ratio
transformer,add,97,0.4,False,softmax_ce,adamw,0.001,1.0,5,greater,1.4001713363970014,0.22388880555972202,0.41579349603948373,False,1.0,False,h1_total_persistence__ratio
transformer,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,5,greater,1.0042569361284572,0.5312234388280586,0.6905904704764761,False,1.0,False,h1_total_persistence__ratio
transformer,add,97,0.4,False,stablemax_ce,adamw,0.01,0.0,1,greater,1.9291257204561951,0.09964501774911254,0.23138843057847108,False,0.8918681289257152,False,h1_total_persistence__ratio
transformer,add,97,0.5,False,softmax_ce,adamw,0.001,1.0,5,greater,0.1497346598473766,1.0,1.0,False,1.0,False,h1_total_persistence__ratio
transformer,add,113,0.3,False,softmax_ce,adamw,0.001,1.0,5,greater,2.071164713954625,0.10679466026698665,0.23138843057847108,False,0.8918681289257152,False,h1_total_persistence__ratio
transformer,add,113,0.3,False,softmax_ce,adamw,0.003,0.1,5,greater,6.863249401734347,4.999750012499375e-05,0.0002166558338749729,True,0.000835082517720707,True,h1_total_persistence__ratio
transformer,add,149,0.3,False,softmax_ce,adamw,0.001,1.0,5,greater,2.155327921674493,0.10364481775911205,0.23138843057847108,False,0.8918681289257152,False,h1_total_persistence__ratio
transformer,compose,120,0.4,False,softmax_ce,adamw,0.001,1.0,2,greater,0.7757629828707127,0.6884155792210389,0.7782089156411743,False,1.0,False,h1_total_persistence__ratio
transformer,compose,120,0.5,False,softmax_ce,adamw,0.001,1.0,2,greater,3.4084874885610263,4.999750012499375e-05,0.0002166558338749729,True,0.000835082517720707,True,h1_total_persistence__ratio
transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,17,greater,4.562051431828045,4.999750012499375e-05,0.0002166558338749729,True,0.000835082517720707,True,h1_total_persistence__ratio
transformer,div,97,0.5,False,softmax_ce,adamw,0.001,1.0,5,greater,1.7415544556750184,0.09969501524923753,0.23138843057847108,False,0.8918681289257152,False,h1_total_persistence__ratio
transformer,mul,97,0.5,False,softmax_ce,adamw,0.001,1.0,5,greater,0.1351681449106089,1.0,1.0,False,1.0,False,h1_total_persistence__ratio
transformer,sub,97,0.3,False,softmax_ce,adamw,0.001,1.0,5,greater,0.9144913956520925,0.5707714614269287,0.6958197544668222,False,1.0,False,h1_total_persistence__ratio
transformer,sub,97,0.4,False,softmax_ce,adamw,0.001,1.0,2,greater,6.317428980100708,4.999750012499375e-05,0.0002166558338749729,True,0.000835082517720707,True,h1_total_persistence__ratio
transformer,sub,97,0.5,False,softmax_ce,adamw,0.001,1.0,2,greater,3.643433643467683,4.999750012499375e-05,0.0002166558338749729,True,0.000835082517720707,True,h1_total_persistence__ratio
mlp,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,5,greater,3.2967092504735738,4.999750012499375e-05,0.00012999350032498374,True,0.0005010495106324243,True,h1_max_persistence_normalised__ratio
mlp,add,97,0.3,False,softmax_ce,orthograd_adamw,0.001,0.0,3,greater,5.289228660717486,4.999750012499375e-05,0.00012999350032498374,True,0.0005010495106324243,True,h1_max_persistence_normalised__ratio
mlp,add,97,0.3,False,stablemax_ce,orthograd_adamw,0.001,0.0,2,greater,9.072456640489218,4.999750012499375e-05,0.00012999350032498374,True,0.0005010495106324243,True,h1_max_persistence_normalised__ratio
mlp,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,3,greater,0.9795946568455159,0.49887505624718764,0.6871866932969142,False,1.0,False,h1_max_persistence_normalised__ratio
mlp,add,97,0.4,False,stablemax_ce,adamw,0.01,0.0,3,greater,1.0103153139909207,0.28903554822258887,0.5009949502524874,False,1.0,False,h1_max_persistence_normalised__ratio
transformer,add,97,0.2,False,softmax_ce,adamw,0.001,1.0,5,greater,0.966607280316229,0.6234688265586721,0.7548486212053035,False,1.0,False,h1_max_persistence_normalised__ratio
