run,model,t_g,stage,step,pca_dim,depth,layer,draw,diameter,n_points,betti_1,life_1,betti_2,life_2
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,8,1,hook_hidden,1,25.609180188791626,300.0,0.0,0.07273889356372762,0.0,0.0580494183676439
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,8,1,hook_hidden,2,25.49883661858923,300.0,0.0,0.0760544899735833,0.0,0.05275544394849778
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,8,2,logits,0,164.1159761610739,300.0,0.0,0.08229876531066278,0.0,0.049221749142857416
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,8,2,logits,1,163.2847177380025,300.0,0.0,0.08460872286928921,0.0,0.0480913876224735
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,8,2,logits,2,164.1159761610739,300.0,0.0,0.06952556173403955,1.0,0.050178259355023874
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,4,0,operands,0,3.6796429891985545,300.0,0.0,0.10816616657620619,0.0,0.07219111140813693
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,4,0,operands,1,3.7010339299188795,300.0,0.0,0.09299305482773276,0.0,0.07581486701995852
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,4,0,operands,2,3.716211300228106,300.0,0.0,0.10723109558714793,0.0,0.07242110729335124
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,4,1,hook_hidden,0,22.601147241778158,300.0,0.0,0.06041272869312646,0.0,0.04462886965591201
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,4,1,hook_hidden,1,22.500714425914524,300.0,0.0,0.06968756972249816,0.0,0.03715698092124924
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,4,1,hook_hidden,2,22.64105224352566,300.0,0.0,0.067419882030475,0.0,0.04519654382088651
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,4,2,logits,0,159.91933196782017,300.0,0.0,0.06360046711496918,0.0,0.04050369303323437
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,4,2,logits,1,159.91933196782017,300.0,0.0,0.05349092849354023,0.0,0.04368193688920307
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,4,2,logits,2,159.91933196782017,300.0,0.0,0.05734407030217201,0.0,0.041807892238439795
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,2,0,operands,0,2.697537159909976,300.0,2.0,0.25375422555295896,1.0,0.19807719456887138
