run,model,operation,modulus,train_fraction,label_permutation,loss,optimizer,lr,weight_decay,steps,seed,n_snapshots,replicate,t_c,t_g,t_top__raw,lead_lag_steps__raw,t_top,lead_lag_steps,t_changepoint,lead_lag_steps__changepoint,diverged,grokked,plateau_relaxed,h1_max_persistence__baseline,h1_max_persistence__plateau,h1_max_persistence__ratio,h1_total_persistence__baseline,h1_total_persistence__plateau,h1_total_persistence__ratio,h1_max_persistence_normalised__baseline,h1_max_persistence_normalised__plateau,h1_max_persistence_normalised__ratio,h1_total_persistence_normalised__baseline,h1_total_persistence_normalised__plateau,h1_total_persistence_normalised__ratio,h0_total_persistence__baseline,h0_total_persistence__plateau,h0_total_persistence__ratio,lid__baseline,lid__plateau,lid__ratio,scale_initial,scale_final,scale_collapse,circularity_column,circularity,test_acc__final,test_acc_novel__final,weight_norm__final,train_acc__final,generalisation_gap,fits_train_set,effective_rank__ratio,log_ratio,log_collapse,condition,residual,residual_sd
mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,add,97,0.3,False,stablemax_ce,orthograd_adamw,0.001,0.0,40000,0,126,False,700.0,600.0,1115.0,-515.0,1382.0,-782.0,161.0,439.0,False,True,False,0.9843387603759766,4.711750984191895,4.7867169046479505,46.5965518951416,73.4017858505249,1.575262178534248,0.06550626573126975,0.48216150722683,7.36054027571698,3.1113275369768583,7.559678135405106,2.4297275184182365,1348.7319512367249,894.5363349914551,0.6632424880060168,50.72222870928695,60.983776472883285,1.2023086923567596,15.283698081970217,9.816396713256836,1.556956032688645,fourier_concentration_k5,0.9980418537800546,1.0,1.0,107.36397212359056,1.0,0.0,True,0.1417393316800947,2.8798116663489095,-2.818687943222017,mlp add p97 f0.3 wd0.0 stablemax_ce,0.7454211736811809,1.4479024657494648
mlp_add97_f0.3_wd0.0_stablemax_ce_s1,mlp,add,97,0.3,False,stablemax_ce,orthograd_adamw,0.001,0.0,40000,1,126,False,800.0,700.0,1382.0,-682.0,1595.0,-895.0,85.0,615.0,False,True,False,0.8903388977050781,5.042697191238403,5.663795218019083,48.75674819946289,151.74799394607544,3.11234853738148,0.0594705220911368,0.6413522930484606,10.784373005261454,3.178100322981036,19.277316207519526,6.065672649829234,1361.750491142273,727.9401423931122,0.5345620560654224,49.34969682877059,36.459751463382744,0.7388039604354149,15.303062438964844,7.880248069763184,1.9419518654093246,fourier_concentration_k5,0.9954460859264616,0.9996963143348694,0.9997819662094116,102.8504573501974,1.0,0.00030368566513061523,True,0.1086257643737289,3.430870396699154,-3.202561765909292,mlp add p97 f0.3 wd0.0 stablemax_ce,0.9436103890847849,1.832864234746066
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,60000,0,127,False,100.0,14300.0,18264.0,-3964.0,18264.0,-3964.0,245.0,14055.0,False,True,False,0.19730627536773682,0.325934886932373,1.6519235707272861,11.201995491981506,46.999000787734985,4.195591831953272,0.04842026160982775,0.1560718843761777,3.223276355543278,2.719189663463283,22.479753416523188,8.267078136760771,375.6851404905319,198.39025139808652,0.5280758539958447,60.88372117454054,159.4932995411149,2.619637835274258,15.283698081970217,2.082019090652466,7.340805927567452,fourier_concentration_k5,0.9038182268415554,1.0,1.0,41.16997360443431,1.0,0.0,True,0.1645310238733987,1.6885278867157008,-2.603568451545288,mlp add p97 f0.3 wd1.0 softmax_ce,-0.24811765384213835,-0.48194252521683373
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,60000,1,127,False,100.0,13200.0,33103.0,-19903.0,33103.0,-19903.0,100.0,13100.0,False,True,False,0.2045460939407348,0.43800115585327143,2.141332290511389,10.046943306922913,22.811002135276794,2.2704420079248107,0.05089764673215625,0.22044954246844994,4.331232515101209,2.4254281091812038,12.010236094148317,4.951800487792166,372.68042051792145,187.61035829782486,0.5034081426577199,61.181775292529295,160.54828304778374,2.6241193930733777,15.303062438964844,1.7503489255905151,8.742863902865567,fourier_concentration_k5,0.9902461924605876,1.0,1.0,39.60840670450885,1.0,0.0,True,0.1422643337491091,2.1147776231972815,-2.8133540772450587,mlp add p97 f0.3 wd1.0 softmax_ce,-0.014709803439781233,-0.02857225072635056
mlp_add97_f0.3_wd1.0_softmax_ce_s2,mlp,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,60000,2,127,False,100.0,12100.0,16955.0,-4855.0,16955.0,-4855.0,60.0,12040.0,False,True,False,0.2135689258575439,0.42825788259506226,2.0052443532010904,12.61050283908844,4.886992573738098,0.3875335215491977,0.0523148916515538,0.228639893517216,4.370455262338772,3.130006782480704,2.6108378896767475,0.8341317035765378,373.57079243659973,178.11910766363144,0.47680148252987625,60.43757116885968,184.42903283644873,3.0515626169218955,15.033525466918944,1.8620493412017824,8.073645060992948,fourier_concentration_k5,0.9903106859431106,1.0,1.0,39.33367650907416,1.0,0.0,True,0.1172484676883812,2.127783570460013,-3.092359026499111,mlp add p97 f0.3 wd1.0 softmax_ce,-0.25817443398770257,-0.5014767661055833
mlp_add97_f0.3_wd1.0_softmax_ce_s3,mlp,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,60000,3,127,False,100.0,9500.0,15741.0,-6241.0,10077.0,-577.0,48.0,9452.0,False,True,False,0.19331622123718256,0.2478523254394531,1.2821082672382644,10.610222578048706,15.587103605270386,1.4690647147702873,0.0477076276283889,0.1129388953737335,2.3673131737644417,2.61935487853162,7.103150701258622,2.71179394570642,377.0663493871689,207.6040256023407,0.5505769102433865,72.95100525633234,126.7088670603673,1.7369036467029169,15.013136863708496,2.1939971446990967,6.842824248874547,fourier_concentration_k5,0.9083018375697468,1.0,1.0,41.09247192971132,1.0,0.0,True,0.1675671111042613,1.2432505739855586,-2.577189080115739,mlp add p97 f0.3 wd1.0 softmax_ce,-0.6691461758217705,-1.2997462805283158
mlp_add97_f0.3_wd1.0_softmax_ce_s4,mlp,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,60000,4,127,False,100.0,12100.0,19673.0,-7573.0,15741.0,-3641.0,100.0,12000.0,False,True,False,0.1931707859039306,0.30553674697875977,1.5816923120596091,12.200870752334595,11.544527530670166,0.9462052147762617,0.0461546612338712,0.15215849864217723,3.2967092504735738,2.9664235953377487,5.748154375355098,1.9377388935246211,379.48756086826324,190.5946021080017,0.5022420278333325,65.70579560781418,198.04104508828064,3.0140574854363114,15.075989723205566,2.0096025466918945,7.501975825032115,fourier_concentration_k5,0.9876122590101613,1.0,1.0,39.861322515998914,1.0,0.0,True,0.1443527530303094,1.7210266557688707,-2.7923294726248598,mlp add p97 f0.3 wd1.0 softmax_ce,-0.38913425888480435,-0.7558524936506286
mlp_add97_f0.4_wd0.0_softmax_ce_s0,mlp,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,20000,0,124,False,100.0,900.0,472.0,428.0,441.0,459.0,3.0,897.0,False,True,False,0.8573665618896484,0.846099853515625,0.9868589365682848,50.73405456542969,54.92073345184326,1.0825220637750168,0.0560132111861438,0.05487024239070595,0.9795946568455159,3.3145418062951264,3.5616594963488017,1.0745556111509404,1419.0701179504397,1411.4008545875547,0.9945955712364928,49.174089075590295,49.602736639793775,1.0087169395968791,15.283698081970217,15.403687477111816,0.9922103460408496,fourier_concentration_k5,0.2986591892352295,1.0,1.0,119.57902800296375,1.0,0.0,True,0.9615782669953592,-0.029743190078468155,-0.05652380538187805,mlp add p97 f0.4 wd0.0 softmax_ce,0.3749389549748879,0.7282796043111289
mlp_add97_f0.4_wd0.0_softmax_ce_s1,mlp,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,20000,1,124,False,100.0,900.0,151.0,749.0,151.0,749.0,13.0,887.0,False,True,False,0.9492349624633788,0.915738582611084,0.964712235456048,59.18785285949707,74.0550217628479,1.251186150283965,0.0617074962569861,0.059585344237622254,0.9656094940146985,3.8476608565999486,4.819069943925655,1.2524674402265559,1429.9428968429563,1412.214017868042,0.9876016874421655,64.70961431202373,63.97932476571444,0.9887143579192436,15.303062438964844,15.38988208770752,0.994358654065841,fourier_concentration_k5,0.3048162909033425,0.9998228549957277,0.9997073411941528,119.63696947636704,1.0,0.00017714500427246094,True,0.9368804889070588,-0.05048823393466386,-0.09406306947644852,mlp add p97 f0.4 wd0.0 softmax_ce,0.31968657790233945,0.620957655557258
mlp_add97_f0.4_wd0.0_softmax_ce_s2,mlp,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,20000,2,124,False,100.0,1100.0,55.0,1045.0,55.0,1045.0,,,False,True,False,0.9032182693481444,0.9384422302246094,1.038998282111683,61.01750659942627,57.38253211975098,0.9404273513905029,0.0593884555413519,0.0623719794502852,1.050237438938884,4.012026329515496,3.811709732310296,0.9500709664511621,1407.043088912964,1396.2596406936646,0.9923360924023794,61.32277717581218,61.42571592932963,1.0016786381546667,15.033525466918944,15.033480644226074,1.0000029815246336,fourier_concentration_k5,0.3024637237018836,1.0,1.0,119.19376878908749,1.0,0.0,True,0.9530850573351252,0.07071553099086686,-0.06932312280906644,mlp add p97 f0.4 wd0.0 softmax_ce,0.46363212011086236,0.9005567773102785
