window,stride,alpha,repeat,ph_dim,slope,r2,n_sizes
200,20,1.0,0,1.3188499917393846,0.24176365298290256,0.9821013558091519,8.0
200,20,1.0,1,1.4444655152741837,0.30770240658172904,0.9949383989945277,8.0
200,20,1.0,2,1.4976832274726186,0.33230206384328187,0.9961260895804668,8.0
200,20,1.0,3,1.2384438021504378,0.1925350199471331,0.9090611139834553,8.0
200,20,1.0,4,1.193001214425993,0.16177788596707723,0.9920767433271842,8.0
200,20,1.0,5,1.3559998713561046,0.26253680319311323,0.9722461481440413,8.0
200,20,1.0,6,1.2024231634909346,0.16834602795179832,0.984313160962944,8.0
200,20,1.0,7,1.1194087323411053,0.10667125321720207,0.7561952896895412,8.0
200,20,1.0,8,1.2874527058369531,0.2232724390835659,0.9840926878985526,8.0
200,20,1.0,9,1.2080379135486292,0.17221141092957493,0.9855029385670067,8.0
200,20,1.05,0,1.3571389962896017,0.2631557985335434,0.9840528370376452,8.0
200,20,1.05,1,1.4888992118996716,0.32836286566092676,0.9960974955428535,8.0
200,20,1.05,2,1.5357249206881416,0.3488417186380547,0.9968147906229273,8.0
200,20,1.05,3,1.266835365435367,0.2106314464497643,0.9310626773346873,8.0
200,20,1.05,4,1.2273024811192061,0.18520493897472093,0.9917809552460712,8.0
200,20,1.05,5,1.4036709629716295,0.28758232778217585,0.9791785823194625,8.0
200,20,1.05,6,1.2373971021629147,0.19185199460056537,0.9910357107383059,8.0
200,20,1.05,7,1.1256061575348792,0.11158979248120099,0.7691971269236917,8.0
200,20,1.05,8,1.3318913673213981,0.2491880159782652,0.9879174058416135,8.0
200,20,1.05,9,1.2444750583684812,0.1964483391808513,0.9859886633140863,8.0
200,20,1.1,0,1.397536762966836,0.28445531702715554,0.9859704459301893,8.0
200,20,1.1,1,1.5334216303437043,0.3478636402332097,0.9968937533563244,8.0
200,20,1.1,2,1.575584079197055,0.36531473426056865,0.9973938532977836,8.0
200,20,1.1,3,1.2978172412596902,0.22947548529300033,0.947866048676315,8.0
200,20,1.1,4,1.2636059651333247,0.20861405565263486,0.9914764097625164,8.0
200,20,1.1,5,1.4515106937980125,0.31106260238193134,0.9841219984954284,8.0
200,20,1.1,6,1.2749138308824721,0.215633264165141,0.9945474078822851,8.0
200,20,1.1,7,1.1324834548582223,0.11698489217646736,0.7844554063828897,8.0
200,20,1.1,8,1.378446234332132,0.27454551719639037,0.9906465919882457,8.0
200,20,1.1,9,1.282984051203148,0.2205670841642756,0.9865399188508949,8.0
200,20,1.15,0,1.4398287519516857,0.3054729608333619,0.987811823678448,8.0
200,20,1.15,1,1.5781085255471636,0.36633001861942366,0.997457037507956,8.0
200,20,1.15,2,1.616685001830967,0.38145031415058844,0.9978707069425693,8.0
200,20,1.15,3,1.331263150227247,0.2488337111792662,0.9604668963508879,8.0
200,20,1.15,4,1.3018270798960292,0.23184882582111813,0.9912716401881028,8.0
200,20,1.15,5,1.5019371611955816,0.33419318341922266,0.9880634781696394,8.0
200,20,1.15,6,1.3150479777549138,0.23957147045902635,0.9964329864251404,8.0
