window,true_dim,repeat,ph_dim,slope,r2,n_sizes
100,1,0,1.0246264901960662,0.024034602298203197,0.15663340064847964,8.0
100,1,1,1.063828667184674,0.05999901032333599,0.5962874760658988,8.0
100,1,2,1.04123024343606,0.039597623768591446,0.6573055791665086,8.0
100,1,3,1.185903032803966,0.15676073646967084,0.26009225544598635,8.0
100,1,4,1.0541738562280896,0.05138986886084198,0.649980625569407,8.0
100,2,0,1.683067417129335,0.4058467356550607,0.9583180743263991,8.0
100,2,1,2.0722035978662094,0.5174219362278298,0.9795772069708178,8.0
100,2,2,1.4200059810846704,0.2957776140941668,0.8820263025963186,8.0
100,2,3,1.8821936424515717,0.4687050378634304,0.972631319778974,8.0
100,2,4,1.6676222199953648,0.40034380208559495,0.9476635654900161,8.0
100,3,0,2.0687391785642126,0.5166137856517805,0.9877788549712926,8.0
100,3,1,2.0254942619173733,0.5062933434067692,0.9657469142764257,8.0
100,3,2,2.877953399134084,0.6525308574138556,0.9886663955501841,8.0
100,3,3,2.806935458486965,0.6437395819072255,0.9744561583697515,8.0
100,3,4,2.1622361655998867,0.5375158292560693,0.9620932325099584,8.0
100,4,0,2.1429848682096093,0.5333611474188962,0.9861363820615486,8.0
100,4,1,2.8885804829360806,0.6538091959329602,0.9928506358297466,8.0
100,4,2,2.529082136606242,0.6045996349719613,0.9876820305200512,8.0
100,4,3,2.358920260352193,0.5760772346536642,0.996030406909868,8.0
100,4,4,2.3077138412305946,0.5666707101489034,0.9642874635445087,8.0
200,1,0,1.005459937403267,0.005430288368692168,0.19532402427125284,8.0
200,1,1,1.0395793983119366,0.03807251122541048,0.5726787140352154,8.0
200,1,2,1.026651804972373,0.025959926085251623,0.2798472237147013,8.0
200,1,3,1.0272092278081062,0.026488496278568367,0.18277538246527192,8.0
200,1,4,1.0543368368668544,0.05153650614003554,0.5307319105404886,8.0
200,2,0,1.7481951361024308,0.427981476810717,0.9891417604798662,8.0
200,2,1,1.5970102020798689,0.37382992375524693,0.9749205133873965,8.0
200,2,2,1.7439885748579163,0.4266017481900816,0.9865152442641385,8.0
200,2,3,1.6532451712837792,0.39512903629201035,0.9636261795021777,8.0
200,2,4,1.6522044408710725,0.3947480255695345,0.9931101431170307,8.0
200,3,0,2.3205171609267135,0.5690615795314163,0.9993384712448545,8.0
200,3,1,2.350406476039598,0.5745416760061919,0.9925804568408488,8.0
200,3,2,2.318154923590616,0.5686224463155858,0.9923499691270368,8.0
200,3,3,2.608484406830795,0.6166356228232316,0.995518242333018,8.0
200,3,4,2.1304510100209093,0.5306158201731259,0.9973160226266766,8.0
200,4,0,2.740262536462545,0.6350714624260352,0.999302490817984,8.0
200,4,1,2.148457272502972,0.5345497381779479,0.9957047471633665,8.0
200,4,2,2.337499502328546,0.5721924222855105,0.9982660460494309,8.0
200,4,3,2.003220011946707,0.5008037090103692,0.9943947310717209,8.0
200,4,4,2.186475440778623,0.5426429305586478,0.995517175897541,8.0
400,1,0,1.029035662696541,0.028216381364718077,0.7759559397727129,8.0
400,1,1,1.1643558101405194,0.14115600120609545,0.8764214776150298,8.0
400,1,2,1.0099734046473512,0.00987491809334669,0.2354304638474215,8.0
400,1,3,1.0216010964649278,0.021144355208382884,0.6777771883662802,8.0
400,1,4,1.061190908860304,0.057662488765590415,0.8053752648742392,8.0
400,2,0,1.7345832723599195,0.4234926532875593,0.996118276416623,8.0
400,2,1,1.757476240194239,0.4310022649925108,0.9980130045954384,8.0
400,2,2,1.7309987470432076,0.42229883082922937,0.9933301709410164,8.0
400,2,3,1.699656389797019,0.41164578558174064,0.9957214453879923,8.0
400,2,4,1.6832218647137547,0.40590125344524436,0.9861341946973169,8.0
400,3,0,2.0373061946115234,0.5091557652723471,0.9935600610151583,8.0
400,3,1,2.0901131362419187,0.521556999637815,0.9982451523830271,8.0
400,3,2,2.051642461386342,0.5125856386671405,0.9968835336726022,8.0
400,3,3,2.036895593838883,0.5090568200821101,0.9933641371535028,8.0
400,3,4,2.081168297909372,0.5195006569124923,0.9969522409649867,8.0
400,4,0,1.9912549097737993,0.49780412588481854,0.9975858408448167,8.0
400,4,1,2.107435808295142,0.5254896988729765,0.9973966276509113,8.0
400,4,2,2.596520798679593,0.6148692509959753,0.9984296390967713,8.0
400,4,3,2.3428928180732496,0.5731772310342472,0.9991054653936764,8.0
400,4,4,2.311853481075089,0.5674466361358823,0.999492189988332,8.0
