run,condition,n_draws,step,ph_dim,slope,r2,n_sizes
transformer_add113_f0.3_wd0.1_dense_s2,transformer_add113_f0.3_wd0.1_dense,1,56000,1.2272150162262507,0.18514686768171118,0.9550864745539436,8.0
transformer_add113_f0.3_wd0.1_dense_s2,transformer_add113_f0.3_wd0.1_dense,4,60000,1.1939564287174833,0.16244849816322554,0.9846446454986703,8.0
transformer_add113_f0.3_wd0.1_dense_s2,transformer_add113_f0.3_wd0.1_dense,4,59000,1.1817285198562526,0.1537819531328214,0.9863917910600055,8.0
transformer_add113_f0.3_wd0.1_dense_s2,transformer_add113_f0.3_wd0.1_dense,4,58000,1.2071325874762073,0.17159058551245515,0.9784961519439311,8.0
transformer_add113_f0.3_wd0.1_dense_s2,transformer_add113_f0.3_wd0.1_dense,4,57000,1.1746820500676864,0.14870581367751473,0.9852026210939749,8.0
transformer_add113_f0.3_wd0.1_dense_s2,transformer_add113_f0.3_wd0.1_dense,4,56000,1.16152913423224,0.13906593426863048,0.9406692561938588,8.0
transformer_add113_f0.3_wd0.1_dense_s2,transformer_add113_f0.3_wd0.1_dense,8,60000,1.1700186357016658,0.14531275871491126,0.9965237527009219,8.0
transformer_add113_f0.3_wd0.1_dense_s2,transformer_add113_f0.3_wd0.1_dense,8,59000,1.1857711401573905,0.1566669434480693,0.9888754321262422,8.0
transformer_add113_f0.3_wd0.1_dense_s2,transformer_add113_f0.3_wd0.1_dense,8,58000,1.1879316513377718,0.158200727395499,0.9832802947291277,8.0
transformer_add113_f0.3_wd0.1_dense_s2,transformer_add113_f0.3_wd0.1_dense,8,57000,1.1594588760127242,0.1375287035285712,0.9868559362390816,8.0
transformer_add113_f0.3_wd0.1_dense_s2,transformer_add113_f0.3_wd0.1_dense,8,56000,1.1513331015874109,0.13144163177342763,0.9899290069323415,8.0
transformer_add113_f0.3_wd0.1_dense_s3,transformer_add113_f0.3_wd0.1_dense,1,60000,1.1697600661175098,0.14512383439533186,0.6092964906070208,8.0
transformer_add113_f0.3_wd0.1_dense_s3,transformer_add113_f0.3_wd0.1_dense,1,59000,1.1056308289258154,0.09553896848954724,0.8776951455194856,8.0
transformer_add113_f0.3_wd0.1_dense_s3,transformer_add113_f0.3_wd0.1_dense,1,58000,1.1114157451846667,0.10024668596552445,0.7654618954222376,8.0
transformer_add113_f0.3_wd0.1_dense_s3,transformer_add113_f0.3_wd0.1_dense,1,57000,1.2495643563922547,0.19972109088706524,0.9107843772203512,8.0
transformer_add113_f0.3_wd0.1_dense_s3,transformer_add113_f0.3_wd0.1_dense,1,56000,1.2011320086936614,0.16745204293773722,0.7852249054886183,8.0
transformer_add113_f0.3_wd0.1_dense_s3,transformer_add113_f0.3_wd0.1_dense,4,60000,1.197310254339275,0.16479459156403786,0.9098982996952626,8.0
transformer_add113_f0.3_wd0.1_dense_s3,transformer_add113_f0.3_wd0.1_dense,4,59000,1.1311802247775227,0.1159675725442627,0.9698315327426845,8.0
transformer_add113_f0.3_wd0.1_dense_s3,transformer_add113_f0.3_wd0.1_dense,4,58000,1.1296738660054688,0.11478876329501725,0.9694331028515548,8.0
transformer_add113_f0.3_wd0.1_dense_s3,transformer_add113_f0.3_wd0.1_dense,4,57000,1.1861310703548,0.15692285195692904,0.9451583452277705,8.0
transformer_add113_f0.3_wd0.1_dense_s3,transformer_add113_f0.3_wd0.1_dense,4,56000,1.1964128827961162,0.16416814430908078,0.8833786641983512,8.0
transformer_add113_f0.3_wd0.1_dense_s3,transformer_add113_f0.3_wd0.1_dense,8,60000,1.2066295995473086,0.17124526004072,0.9951492127834731,8.0
transformer_add113_f0.3_wd0.1_dense_s3,transformer_add113_f0.3_wd0.1_dense,8,59000,1.1310207342482401,0.11584291099254364,0.9725725016976904,8.0
transformer_add113_f0.3_wd0.1_dense_s3,transformer_add113_f0.3_wd0.1_dense,8,58000,1.1416723634448147,0.12409196191571178,0.9705582983040042,8.0
transformer_add113_f0.3_wd0.1_dense_s3,transformer_add113_f0.3_wd0.1_dense,8,57000,1.178419826343633,0.15140599500708407,0.9840374332952049,8.0
transformer_add113_f0.3_wd0.1_dense_s3,transformer_add113_f0.3_wd0.1_dense,8,56000,1.1795245177454283,0.15220075127270427,0.982588654458562,8.0
transformer_add113_f0.3_wd0.1_dense_s4,transformer_add113_f0.3_wd0.1_dense,1,60000,1.1456528605126608,0.12713524797335515,0.8763437673630753,8.0
transformer_add113_f0.3_wd0.1_dense_s4,transformer_add113_f0.3_wd0.1_dense,1,59000,1.1563014883689287,0.13517364626885206,0.9315270238532732,8.0
transformer_add113_f0.3_wd0.1_dense_s4,transformer_add113_f0.3_wd0.1_dense,1,58000,1.1619472525942969,0.1393757352002983,0.9344885408442768,8.0
transformer_add113_f0.3_wd0.1_dense_s4,transformer_add113_f0.3_wd0.1_dense,1,57000,1.141127935597992,0.12367406948462432,0.7992930324574065,8.0
transformer_add113_f0.3_wd0.1_dense_s4,transformer_add113_f0.3_wd0.1_dense,1,56000,1.1590628616676732,0.13723402494219497,0.8719543830025178,8.0
transformer_add113_f0.3_wd0.1_dense_s4,transformer_add113_f0.3_wd0.1_dense,4,60000,1.1675414646217874,0.14349936999972898,0.9794942617455649,8.0
transformer_add113_f0.3_wd0.1_dense_s4,transformer_add113_f0.3_wd0.1_dense,4,59000,1.1620372310230562,0.13944237473389634,0.9932992560640292,8.0
transformer_add113_f0.3_wd0.1_dense_s4,transformer_add113_f0.3_wd0.1_dense,4,58000,1.1788609299912578,0.1517235200869574,0.9797138749030179,8.0
transformer_add113_f0.3_wd0.1_dense_s4,transformer_add113_f0.3_wd0.1_dense,4,57000,1.169250116992621,0.14475099427652163,0.9566431437505984,8.0
transformer_add113_f0.3_wd0.1_dense_s4,transformer_add113_f0.3_wd0.1_dense,4,56000,1.1604889864052919,0.13829427791677656,0.9936435606512583,8.0
transformer_add113_f0.3_wd0.1_dense_s4,transformer_add113_f0.3_wd0.1_dense,8,60000,1.1615812740184532,0.13910457893270617,0.981002783125129,8.0
transformer_add113_f0.3_wd0.1_dense_s4,transformer_add113_f0.3_wd0.1_dense,8,59000,1.1557135964014895,0.13473372372387957,0.9939876270917717,8.0
