run,t_g,grokked,model,operation,modulus,train_fraction,label_permutation,loss,optimizer,lr,weight_decay,dominance__baseline,dominance__plateau,share__baseline,share__plateau,n_bars__baseline,n_bars__plateau,dominance__ratio,share__ratio
transformer_add113_f0.3_wd0.1_softmax_ce_s3,11500.0,True,transformer,add,113,0.3,False,softmax_ce,adamw,0.003,0.1,1.5453791797428988,1.7089472438790576,0.07140852389859362,0.020862293968935745,47.0,170.0,1.1058433207074598,0.2921541131218737
transformer_add113_f0.3_wd0.1_softmax_ce_s4,10500.0,True,transformer,add,113,0.3,False,softmax_ce,adamw,0.003,0.1,1.6145046424070562,1.6007478111255526,0.043364760679119166,0.01641705148789771,78.5,201.0,0.9914792246982991,0.37858047019737817
transformer_add113_f0.3_wd1.0_softmax_ce_s0,21500.0,True,transformer,add,113,0.3,False,softmax_ce,adamw,0.001,1.0,1.7173348819061254,1.7632607147753663,0.025406398760946157,0.014226672766569646,135.5,239.5,1.0267425027891277,0.5599641610143661
transformer_add113_f0.3_wd1.0_softmax_ce_s1,27500.0,True,transformer,add,113,0.3,False,softmax_ce,adamw,0.001,1.0,1.6721401448307125,1.782359452728527,0.03194364274430987,0.018870524792659018,109.0,190.0,1.0659151137771248,0.5907442975025267
transformer_add113_f0.3_wd1.0_softmax_ce_s2,21800.0,True,transformer,add,113,0.3,False,softmax_ce,adamw,0.001,1.0,1.6333431649672538,1.6582480757458604,0.03152436165718775,0.012550858207663607,114.0,279.5,1.0152478127761386,0.3981320333825676
transformer_add113_f0.3_wd1.0_softmax_ce_s3,16800.0,True,transformer,add,113,0.3,False,softmax_ce,adamw,0.001,1.0,1.5786689931233644,1.6697500359270196,0.02556562966812682,0.01704813459773048,137.5,230.0,1.0576948322925208,0.6668380485454942
transformer_add113_f0.3_wd1.0_softmax_ce_s4,19100.0,True,transformer,add,113,0.3,False,softmax_ce,adamw,0.001,1.0,1.7542198767192403,1.585554478100895,0.029803599794059183,0.015395972248251464,117.5,240.0,0.9038516203944827,0.5165809618514733
transformer_add149_f0.3_wd1.0_softmax_ce_s0,10500.0,True,transformer,add,149,0.3,False,softmax_ce,adamw,0.001,1.0,1.9132795781338527,1.7535698829502122,0.02505738072803466,0.010915076059404808,163.5,317.0,0.9165256886610289,0.43560323315009614
transformer_add149_f0.3_wd1.0_softmax_ce_s1,9600.0,True,transformer,add,149,0.3,False,softmax_ce,adamw,0.001,1.0,1.748439318423317,1.552820861027015,0.018575116627092794,0.007325512600723129,191.0,425.0,0.888118246178138,0.39437236103478784
transformer_add149_f0.3_wd1.0_softmax_ce_s2,6800.0,True,transformer,add,149,0.3,False,softmax_ce,adamw,0.001,1.0,1.7394441828877962,1.593701615784668,0.016577471345000584,0.009506607647013979,210.5,365.0,0.9162131394977165,0.5734654851254484
transformer_add149_f0.3_wd1.0_softmax_ce_s3,9800.0,True,transformer,add,149,0.3,False,softmax_ce,adamw,0.001,1.0,1.843089120507072,1.6386801302755172,0.024210071660201768,0.012314457864233807,160.5,290.0,0.8890943536277195,0.5086502029846193
transformer_add149_f0.3_wd1.0_softmax_ce_s4,9800.0,True,transformer,add,149,0.3,False,softmax_ce,adamw,0.001,1.0,1.769965155972776,1.683277857540229,0.026323737111981084,0.008331797194278612,142.5,415.0,0.9510231610266341,0.3165127033002638
transformer_add97_f0.2_wd1.0_softmax_ce_s0,,False,transformer,add,97,0.2,False,softmax_ce,adamw,0.001,1.0,1.7259941816156732,1.5271367413185588,0.03868736255331209,0.05397423481753938,92.0,53.0,0.8847867261574617,1.395138651366105
transformer_add97_f0.2_wd1.0_softmax_ce_s1,,False,transformer,add,97,0.2,False,softmax_ce,adamw,0.001,1.0,1.6595311392094998,1.7089068753191703,0.04092821544155968,0.034931604726244084,86.0,100.5,1.0297528229167126,0.8534846767536689
transformer_add97_f0.2_wd1.0_softmax_ce_s2,,False,transformer,add,97,0.2,False,softmax_ce,adamw,0.001,1.0,1.6755302993093273,1.7025965820432205,0.03895886931858668,0.03805609166545298,92.5,86.5,1.0161538605091476,0.9768274164798977
transformer_add97_f0.2_wd1.0_softmax_ce_s3,,False,transformer,add,97,0.2,False,softmax_ce,adamw,0.001,1.0,1.5878954523278135,1.6680659442864116,0.03540157608030608,0.03609898129040463,101.0,96.0,1.0504885204130223,1.0196998350727815
transformer_add97_f0.2_wd1.0_softmax_ce_s4,,False,transformer,add,97,0.2,False,softmax_ce,adamw,0.001,1.0,1.6731636220108503,1.8291746123545398,0.04588970486375607,0.07361631497060664,80.0,48.0,1.0932431163882177,1.6042010988994002
