run,model,operation,modulus,weight_decay,circularity,h1_max_persistence__ratio,h1_total_persistence__ratio,h1_max_persistence_normalised__ratio,h1_total_persistence_normalised__ratio,h0_total_persistence__ratio,lid__ratio
mlp_add97_f0.3_wd0.0_softmax_ce_s0,mlp,add,97,0.0,0.8855410163532499,2.479054995327719,2.353450346181369,3.9100247602100433,3.714180864841445,0.6621676134669316,1.8237706229272932
mlp_add97_f0.3_wd0.0_softmax_ce_s1,mlp,add,97,0.0,0.9999030305314844,6.366449325828719,3.7323051977370674,13.775872994860812,8.083201057870344,0.48607856987954884,2.3304175584548927
mlp_add97_f0.3_wd0.0_softmax_ce_s2,mlp,add,97,0.0,0.9991419023376318,3.2177102949539833,3.534223848766154,5.289228660717486,5.794952231591669,0.6470489975664206,1.295075350676916
mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,add,97,0.0,0.9980418537800546,4.7867169046479505,1.575262178534248,7.36054027571698,2.4297275184182365,0.6632424880060168,1.2023086923567596
mlp_add97_f0.3_wd0.0_stablemax_ce_s1,mlp,add,97,0.0,0.9954460859264616,5.663795218019083,3.11234853738148,10.784373005261454,6.065672649829234,0.5345620560654224,0.7388039604354149
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,add,97,1.0,0.9038182268415554,1.6519235707272861,4.195591831953272,3.223276355543278,8.267078136760771,0.5280758539958447,2.619637835274258
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,add,97,1.0,0.9902461924605876,2.141332290511389,2.2704420079248107,4.331232515101209,4.951800487792166,0.5034081426577199,2.6241193930733777
mlp_add97_f0.3_wd1.0_softmax_ce_s2,mlp,add,97,1.0,0.9903106859431106,2.0052443532010904,0.3875335215491977,4.370455262338772,0.8341317035765378,0.47680148252987625,3.0515626169218955
mlp_add97_f0.3_wd1.0_softmax_ce_s3,mlp,add,97,1.0,0.9083018375697468,1.2821082672382644,1.4690647147702873,2.3673131737644417,2.71179394570642,0.5505769102433865,1.7369036467029169
mlp_add97_f0.3_wd1.0_softmax_ce_s4,mlp,add,97,1.0,0.9876122590101613,1.5816923120596091,0.9462052147762617,3.2967092504735738,1.9377388935246211,0.5022420278333325,3.0140574854363114
mlp_add97_f0.4_wd0.0_softmax_ce_s0,mlp,add,97,0.0,0.2986591892352295,0.9868589365682848,1.0825220637750168,0.9795946568455159,1.0745556111509404,0.9945955712364928,1.0087169395968791
mlp_add97_f0.4_wd0.0_softmax_ce_s1,mlp,add,97,0.0,0.3048162909033425,0.964712235456048,1.251186150283965,0.9656094940146985,1.2524674402265559,0.9876016874421655,0.9887143579192436
mlp_add97_f0.4_wd0.0_softmax_ce_s2,mlp,add,97,0.0,0.3024637237018836,1.038998282111683,0.9404273513905029,1.050237438938884,0.9500709664511621,0.9923360924023794,1.0016786381546667
transformer_add113_f0.3_wd0.1_softmax_ce_s0,transformer,add,113,0.1,0.7592647302298183,1.4026492717446335,15.318864946567928,2.899287092566698,29.75395345343068,0.4515839976201352,0.4573352070046939
transformer_add113_f0.3_wd0.1_softmax_ce_s1,transformer,add,113,0.1,0.8706815167237938,2.041051951171681,12.599851753984009,5.768599048467296,37.6186270236315,0.3579908900749746,0.5439257389740173
transformer_add113_f0.3_wd0.1_softmax_ce_s2,transformer,add,113,0.1,0.827082646401613,1.6784325739430757,6.863249401734347,3.1024682427764594,14.808992637587519,0.48574269313191204,0.48335024124921316
transformer_add113_f0.3_wd0.1_softmax_ce_s3,transformer,add,113,0.1,0.6550313774445015,0.9563256564157616,3.0756792143318314,2.197848441308226,6.7841521244280765,0.3506291077701854,0.7494934778345208
transformer_add113_f0.3_wd0.1_softmax_ce_s4,transformer,add,113,0.1,0.7531757276599529,0.7001055366839773,1.9480982962905895,2.3776975901703756,6.478398286980889,0.2898449501933095,0.6572189689624295
transformer_add113_f0.3_wd1.0_softmax_ce_s0,transformer,add,113,1.0,0.3774624287003187,1.4016210001346991,2.6177436773429803,1.5713693415826302,2.6580073506262507,0.8604866729747503,0.8648346877569743
transformer_add113_f0.3_wd1.0_softmax_ce_s1,transformer,add,113,1.0,0.3295196630070622,0.6797293826516251,1.349477521508455,0.9646976278673893,1.8434290773423296,0.7065859680008946,1.195136829575411
transformer_add113_f0.3_wd1.0_softmax_ce_s2,transformer,add,113,1.0,0.3219422522898848,1.0009143891880243,3.0232614155526885,1.569099222461524,4.142316297128949,0.8207086861805726,0.9704610477436498
transformer_add113_f0.3_wd1.0_softmax_ce_s3,transformer,add,113,1.0,0.3527702772080742,0.8427281600780848,1.1991239058694438,1.0967487726720946,1.5963353250021957,0.7632109783036839,1.279034190442059
transformer_add113_f0.3_wd1.0_softmax_ce_s4,transformer,add,113,1.0,0.3024614795984436,0.8646777043721712,2.071164713954625,1.2007771288142552,2.8007891318516043,0.7032247823553255,1.1736665590228426
transformer_add149_f0.3_wd1.0_softmax_ce_s0,transformer,add,149,1.0,0.3399502150151722,0.8828872426574955,2.155327921674493,1.204195558272703,2.338610322414246,0.8273363316975849,1.0453785655329542
transformer_add149_f0.3_wd1.0_softmax_ce_s1,transformer,add,149,1.0,0.3075373094819161,1.0256977830345728,2.477685795979958,1.386530542843953,3.523031385526946,0.6515576816329509,0.872681479155018
transformer_add149_f0.3_wd1.0_softmax_ce_s2,transformer,add,149,1.0,0.4413674081367579,0.7722425139392878,1.4135293243965976,1.4363701000756621,2.5207648393621627,0.5480653305229779,0.845858675504348
transformer_add149_f0.3_wd1.0_softmax_ce_s3,transformer,add,149,1.0,0.3006016247973259,0.8543907469303205,1.7504975931748121,1.1766256140379059,2.270890056793438,0.7978851271530305,1.1706355870253813
transformer_add149_f0.3_wd1.0_softmax_ce_s4,transformer,add,149,1.0,0.3682904099865329,1.086603602896041,3.597159101658824,1.52896512006388,5.558949510149526,0.6557174976969783,1.1103409797995314
transformer_add97_f0.3_wd0.1_softmax_ce_s1,transformer,add,97,0.1,0.2581367688012379,1.087929525760877,1.2217851555577832,0.9532905253824766,1.0922525007494643,1.1704933338865855,1.2616405972408726
transformer_add97_f0.3_wd0.1_softmax_ce_s2,transformer,add,97,0.1,0.2528834351169893,0.681621324823345,0.8562917640226863,0.8244282656069507,1.0387028950753365,0.8182401206766348,1.2264024170555807
transformer_add97_f0.3_wd0.1_softmax_ce_s4,transformer,add,97,0.1,0.2732094975310092,0.9368835674579562,1.6633180922230009,0.8613201047402105,1.5912637079479128,1.1262147475122493,1.2250547390243012
transformer_add97_f0.3_wd0.3_softmax_ce_s0,transformer,add,97,0.3,0.3991442249293097,1.1184172677789108,1.214011963551255,0.9876177053219255,1.071419897738416,1.1952483179630988,1.227046259986632
transformer_add97_f0.3_wd0.3_softmax_ce_s1,transformer,add,97,0.3,0.3131302829539761,0.5409569580889065,0.7380275647367879,0.7235231768844428,1.2698564669594932,0.7555386675668428,1.7527359378860663
transformer_add97_f0.3_wd0.3_softmax_ce_s2,transformer,add,97,0.3,0.3216230472040032,0.633234692506589,1.3969065136182162,0.8229848081517435,1.9047490136889365,0.7765509164291258,1.3101247869888122
transformer_add97_f0.3_wd0.3_softmax_ce_s3,transformer,add,97,0.3,0.2789160381030834,0.7453439586902033,1.1367032248747764,0.8778145743405158,1.3182763075333634,0.898954681766966,1.4848395914552008
transformer_add97_f0.3_wd0.3_softmax_ce_s4,transformer,add,97,0.3,0.3012196237858726,0.6616076027039792,0.9857376832057105,0.8447014054271509,1.2644404694606781,0.7735370332474117,1.5883492386429392
transformer_add97_f0.3_wd1.0_softmax_ce_s0,transformer,add,97,1.0,0.2412654871544454,1.209967493067307,1.6415957185919416,1.2091118833356345,1.6579035560594824,0.9370895228077062,0.9910212087616167
transformer_add97_f0.3_wd1.0_softmax_ce_s1,transformer,add,97,1.0,0.2494681814420685,0.8688833483951094,1.1558699045940193,0.907013910343647,0.9570062523383844,0.9778597483871659,1.320079971335529
transformer_add97_f0.3_wd1.0_softmax_ce_s2,transformer,add,97,1.0,0.2569721975077983,1.0918934009113925,3.0616508338396513,1.1716242593902648,3.400348699418392,0.9673163795988137,1.6399991191389003
transformer_add97_f0.3_wd1.0_softmax_ce_s3,transformer,add,97,1.0,0.2556247820354627,0.9086106289461077,1.5512494545790216,0.8806260554151021,1.4366813332289958,1.1113170431064194,1.2374337990819435
transformer_add97_f0.3_wd1.0_softmax_ce_s4,transformer,add,97,1.0,0.2811364482142584,0.8483782597197783,2.957536977827424,1.0854264170867567,3.8028069027083804,0.8444456798694268,1.214367331405343
transformer_add97_f0.3_wd3.0_softmax_ce_s0,transformer,add,97,3.0,0.1297840096751687,0.33256522210268663,0.08312144585110454,0.33021899087428247,0.08915047038958282,0.9361159503699633,1.8119122567425672
transformer_add97_f0.3_wd3.0_softmax_ce_s1,transformer,add,97,3.0,0.1396657393637137,0.330617186559719,0.09955002333741982,0.3471656348415727,0.09983046204769169,1.0162951161061065,2.0136964829429074
transformer_add97_f0.3_wd3.0_softmax_ce_s2,transformer,add,97,3.0,0.1396920850670376,0.34192180170610975,0.13585993066801416,0.3297753440223136,0.13207888917467017,0.9978657741910648,1.8615285434862898
