run,step,mean_pairwise,diameter,rms_radius,spectral_decay,participation_ratio,effective_rank,top2_variance_fraction,connectivity,h1_max_persistence__raw,h1_max_persistence__connectivity,h1_max_persistence__mean_pairwise,h1_max_persistence__diameter,h1_max_persistence__rms_radius,h1_total_persistence__raw,h1_total_persistence__connectivity,h1_total_persistence__mean_pairwise,h1_total_persistence__diameter,h1_total_persistence__rms_radius
mlp_add97_f0.3_wd0.0_stablemax_ce_s0,0,16.03148402681266,20.55670661603142,11.301846523935433,1.210346252237437,53.41728041971642,64.86072252629752,0.0715842147852663,15.283698081970217,0.8148765563964844,0.05331671379702097,0.05082976442066144,0.03964042351808398,0.07210118759538198,18.85002899169922,1.2333421460304892,1.175813103775829,0.9169770889758564,1.6678716129950968
mlp_add97_f0.3_wd0.0_stablemax_ce_s0,1,16.031345808719458,20.55687980197599,11.301750862537661,1.2104706554190785,53.415244454027565,64.85881499857855,0.07159038898469156,15.284219741821287,0.8138294219970703,0.05324638324652177,0.05076488472692218,0.03958915116674674,0.07200914547627318,18.83944129943848,1.2326073308072936,1.175162804434778,0.9164543199609297,1.6669489115961922
mlp_add97_f0.3_wd0.0_stablemax_ce_s0,2,16.03125442160954,20.55739692308248,11.301687812049884,1.2105426432815918,53.413530172338106,64.85724336312813,0.07159715555735331,15.284738540649414,0.8124446868896484,0.05315398001274083,0.05067879690029141,0.03952079584441017,0.07188702257581546,18.827810287475582,1.2318045374085693,1.174443982505598,0.9158654842304055,1.665929071886177
mlp_add97_f0.3_wd0.0_stablemax_ce_s0,3,16.03120318196578,20.557543991787554,11.301653536124366,1.2105895958785733,53.411819110940485,64.85579896904105,0.0716037536100039,15.285313606262209,0.8118753433227539,0.053114732496567056,0.050643444169934104,0.039492817996502234,0.0718368635817487,18.815229415893555,1.2309351250853748,1.1736629623071368,0.9152469489259014,1.6648209357819148
mlp_add97_f0.3_wd0.0_stablemax_ce_s0,4,16.031197238147996,20.5577892163715,11.301651551561244,1.2106029304567485,53.41039724791423,64.85463249025055,0.0716094670409714,15.285903930664062,0.8114156723022461,0.053082609702558556,0.050614789416438176,0.039469986960274074,0.07179620328943469,18.79770565032959,1.2297411874099724,1.1725702934774194,0.9143836164717439,1.663270679030342
mlp_add97_f0.3_wd0.0_stablemax_ce_s0,5,16.031200328411003,20.558073702938806,11.30165561833182,1.210607370782204,53.409411077989766,64.85381560664052,0.07161361085899634,15.286446571350098,0.8113384246826172,0.05307567202722116,0.050609961079753796,0.039465683235031655,0.07178934238330426,18.77916717529297,1.2284847945296153,1.171413667759608,0.9134692017671121,1.661629747842632
mlp_add97_f0.3_wd0.0_stablemax_ce_s0,6,16.03119120215978,20.558415369698643,11.301650847251748,1.2106188562553213,53.40890440201046,64.85340707596501,0.07161680700153264,15.28677463531494,0.8116359710693359,0.053093997290594226,0.0506285503575049,0.03947950055847292,0.0718157003820998,18.75866985321045,1.2271175771686242,1.1701357445405065,0.9124569922280651,1.6598167919664624
mlp_add97_f0.3_wd0.0_stablemax_ce_s0,7,16.031186343534994,20.55863198009832,11.301647899062583,1.210625152895411,53.40908653546197,64.8535968739549,0.07161874039017513,15.287015914916992,0.8121957778930664,0.05312977904997992,0.050663485564223766,0.03950631436368473,0.07186525231956961,18.739540100097656,1.2258468365831756,1.168942815492559,0.9115168809986177,1.6581245732891758
mlp_add97_f0.3_wd0.0_stablemax_ce_s0,8,16.031192058103517,20.55864229617696,11.301650755089332,1.2106294397993334,53.4099981074851,64.85435457074992,0.0716192327476467,15.287260055541992,0.8129196166992188,0.05317627970909779,0.05070861940602231,0.03954150303254158,0.07192928133380398,18.7212495803833,1.224630804497658,1.16780146557598,0.9106267481420534,1.6565057606255258
mlp_add97_f0.3_wd0.0_stablemax_ce_s0,9,16.031202279510673,20.55854920713688,11.301655347725514,1.210635802301865,53.411624667632175,64.85566333258289,0.07161864718437441,15.287479400634766,0.8114547729492188,0.05307969689990395,0.05061721253348112,0.0394704297843898,0.07179963890090897,18.69753646850586,1.2230620875099594,1.1663215361210308,0.9094774285928224,1.6544068893649977
mlp_add97_f0.3_wd0.0_stablemax_ce_s0,10,16.031215447014016,20.558292689583155,11.301660611462106,1.2106435030429874,53.41398947188465,64.85759997817081,0.07161722594255743,15.287541389465332,0.8096923828125,0.05296419889796408,0.05050723605385229,0.039385195796087166,0.07164366464794676,18.67520236968994,1.221596193522593,1.1649274149807771,0.9084023975956247,1.6524299403177631
mlp_add97_f0.3_wd0.0_stablemax_ce_s0,11,16.03123143420354,20.557839052285242,11.301666729211306,1.2106473868670344,53.41704476374492,64.86013568633241,0.07161514937315802,15.287430763244627,0.8078498840332031,0.05284405839963025,0.050392253854536065,0.039296439765803166,0.07148059692338667,18.65238857269287,1.2201127096868736,1.1635031687520239,0.9073127056425437,1.6504104234893273
