model,operation,modulus,train_fraction,label_permutation,loss,optimizer,lr,weight_decay,n_runs,n_grokked,t_g_values,t_g_median,h1_max_persistence__lo,h1_max_persistence__med,h1_max_persistence__hi,h1_total_persistence__lo,h1_total_persistence__med,h1_total_persistence__hi,h1_max_persistence_normalised__lo,h1_max_persistence_normalised__med,h1_max_persistence_normalised__hi,h1_total_persistence_normalised__lo,h1_total_persistence_normalised__med,h1_total_persistence_normalised__hi,h0_total_persistence__lo,h0_total_persistence__med,h0_total_persistence__hi,lid__lo,lid__med,lid__hi,circularity,scale_collapse,test_acc_final,h1_max_persistence__verdict,h1_total_persistence__verdict,h1_max_persistence_normalised__verdict,h1_total_persistence_normalised__verdict,h0_total_persistence__verdict,lid__verdict
mlp,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,5,5,9500 12100 12100 13200 14300,12100.0,1.2821082672382644,1.6519235707272861,2.141332290511389,0.3875335215491977,1.4690647147702873,4.195591831953272,2.3673131737644417,3.2967092504735738,4.370455262338772,0.8341317035765378,2.71179394570642,8.267078136760771,0.47680148252987625,0.5034081426577199,0.5505769102433865,1.7369036467029169,2.6241193930733777,3.0515626169218955,0.9876122590101613,7.501975825032115,1.0,inside,inside,above,inside,below,above
mlp,add,97,0.3,False,stablemax_ce,orthograd_adamw,0.001,0.0,3,2,600 700,650.0,4.7867169046479505,5.225256061333517,5.663795218019083,1.575262178534248,2.343805357957864,3.11234853738148,7.36054027571698,9.072456640489218,10.784373005261454,2.4297275184182365,4.247700084123736,6.065672649829234,0.5345620560654224,0.5989022720357196,0.6632424880060168,0.7388039604354149,0.9705563263960872,1.2023086923567596,0.9967439698532581,1.7494539490489847,0.9996963143348694,above,inside,above,above,below,inside
mlp,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,3,3,900 900 1100,900.0,0.964712235456048,0.9868589365682848,1.038998282111683,0.9404273513905029,1.0825220637750168,1.251186150283965,0.9656094940146985,0.9795946568455159,1.050237438938884,0.9500709664511621,1.0745556111509404,1.2524674402265559,0.9876016874421655,0.9923360924023794,0.9945955712364928,0.9887143579192436,1.0016786381546667,1.0087169395968791,0.3024637237018836,0.994358654065841,1.0,inside,inside,inside,inside,inside,inside
mlp,add,97,0.4,False,stablemax_ce,adamw,0.01,0.0,3,0,,,1.0461889477961481,1.0483186859518947,1.068682825143653,1.0377386958917252,1.0431551166719946,1.0524465890685417,1.0095452340481552,1.0103153139909207,1.0270313139866136,1.001046217907662,1.007385512398912,1.017608693489076,1.0368604090172564,1.0369572664347753,1.0370791649925017,0.9909269901073878,0.9976138985795316,1.0118199673281363,0.1473503626091317,0.2609872637156682,0.0001771479146555,inside,inside,inside,inside,inside,inside
transformer,add,97,0.2,False,softmax_ce,adamw,0.001,1.0,5,0,,,0.7438535380975861,0.9107415473124049,1.135834379479461,0.4798153689127386,0.8972295861584968,1.1374379632100664,0.8935742588860289,0.966607280316229,1.115451808891002,0.5155876463727666,0.9149013639445701,1.1236059014144046,0.8579315514341318,0.9533695182726772,1.068979703204562,0.8426117810480805,0.9795890461869722,1.057814876814724,0.1675967653675271,136.14675893001024,0.2006111294031143,inside,inside,inside,inside,inside,inside
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.1,5,3,137000 140100 142200,140100.0,0.681621324823345,0.9368835674579562,1.087929525760877,0.8562917640226863,1.2217851555577832,1.6633180922230009,0.8244282656069507,0.8613201047402105,0.9532905253824766,1.0387028950753365,1.0922525007494643,1.5912637079479128,0.8182401206766348,1.1262147475122493,1.1704933338865855,1.2250547390243012,1.2264024170555807,1.2616405972408726,0.2528834351169893,62.72528284125788,0.991193413734436,inside,inside,inside,inside,inside,inside
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.3,5,5,41200 42600 43800 55400 56500,43800.0,0.5409569580889065,0.6616076027039792,1.1184172677789108,0.7380275647367879,1.1367032248747764,1.3969065136182162,0.7235231768844428,0.8447014054271509,0.9876177053219255,1.071419897738416,1.2698564669594932,1.9047490136889365,0.7555386675668428,0.7765509164291258,1.1952483179630988,1.227046259986632,1.4848395914552008,1.7527359378860663,0.3131302829539761,127.16420673366682,1.0,inside,inside,inside,inside,inside,inside
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,5,5,25700 27600 28600 30000 34700,28600.0,0.8483782597197783,0.9086106289461077,1.209967493067307,1.1558699045940193,1.6415957185919416,3.0616508338396513,0.8806260554151021,1.0854264170867567,1.2091118833356345,0.9570062523383844,1.6579035560594824,3.8028069027083804,0.8444456798694268,0.9673163795988137,1.1113170431064194,0.9910212087616174,1.2374337990819435,1.6399991191389003,0.2556247820354627,154.95773723111867,1.0,inside,inside,inside,inside,inside,inside
transformer,add,97,0.3,False,softmax_ce,adamw,0.001,3.0,5,5,39100 47500 49300 63700 78000,49300.0,0.16942882864756428,0.33256522210268663,0.36370894931118797,0.04023162981729042,0.09955002333741982,0.14592902949354633,0.19300226071205842,0.33021899087428247,0.34929389505887964,0.04274654385009632,0.09983046204769169,0.14346410948114655,0.9361159503699633,0.9978657741910648,1.0751005781262006,1.8119122567425672,1.8615285434862898,2.0136964829429074,0.1368791569618209,140.44500686655024,1.0,below,below,below,below,inside,above
transformer,add,97,0.3,False,stablemax_ce,orthograd_adamw,0.001,0.0,5,0,,,0.9749137906390979,1.0098249022559285,1.074511794616884,0.9370409642838793,0.9734775925615613,1.0125394115749091,0.9663372976807039,1.0038253859721895,1.061827410012064,0.9260737950837871,0.9619886178243952,1.0061798950314274,1.0091392372451016,1.0095173145946588,1.0112255209137648,0.9781216127093357,1.0098774227362404,1.015163709205196,0.1196058821614453,0.9602612851973421,0.3020042479038238,inside,inside,inside,inside,inside,inside
transformer,add,97,0.3,True,softmax_ce,adamw,0.001,1.0,5,0,,,0.8248633844500258,1.0371864414833651,1.5422955721966312,0.9043217667135013,1.1028332876043625,1.5283789520830904,0.7785306478902532,0.9770036709695743,1.2799979019631855,0.9139863905691546,1.0715979321719122,1.2989468731137614,0.9679981010201049,1.0748678741799063,1.1550976685990773,0.9077968727312028,0.999498743662178,1.0939335978500602,0.1299531627005666,125.08456475558067,0.0103249317035079,inside,inside,inside,inside,inside,inside
