amplitude,location,draw,run,true_step,found_step,error,relative_error
5.0,0.8,34,transformer_add97_permuted_dense_s2,32000.0,32292.0,292.0,0.009125
5.0,0.8,35,transformer_add97_permuted_dense_s3,32000.0,32292.0,292.0,0.009125
5.0,0.8,36,transformer_add97_permuted_dense_s1,32000.0,34067.0,2067.0,0.06459375
5.0,0.8,37,transformer_add97_permuted_s3,48000.0,51711.0,3711.0,0.0773125
5.0,0.8,38,transformer_add97_permuted_s0,48000.0,51711.0,3711.0,0.0773125
5.0,0.8,39,transformer_add97_permuted_dense_s2,32000.0,32292.0,292.0,0.009125
9.0,0.2,0,transformer_add97_permuted_s1,12000.0,12594.0,594.0,0.0495
9.0,0.2,1,transformer_add97_permuted_dense_s0,8000.0,9430.0,1430.0,0.17875
9.0,0.2,2,transformer_add97_permuted_dense_s3,8000.0,9430.0,1430.0,0.17875
9.0,0.2,3,transformer_add97_permuted_s2,12000.0,14613.0,2613.0,0.21775
9.0,0.2,4,transformer_add97_permuted_s4,12000.0,10854.0,-1146.0,-0.0955
9.0,0.2,5,transformer_add97_permuted_s1,12000.0,12594.0,594.0,0.0495
9.0,0.2,6,transformer_add97_permuted_dense_s1,8000.0,9430.0,1430.0,0.17875
9.0,0.2,7,transformer_add97_permuted_s1,12000.0,12594.0,594.0,0.0495
9.0,0.2,8,transformer_add97_permuted_s2,12000.0,14613.0,2613.0,0.21775
9.0,0.2,9,transformer_add97_permuted_s1,12000.0,12594.0,594.0,0.0495
9.0,0.2,10,transformer_add97_permuted_dense_s1,8000.0,9430.0,1430.0,0.17875
9.0,0.2,11,transformer_add97_permuted_s0,12000.0,14613.0,2613.0,0.21775
9.0,0.2,12,transformer_add97_permuted_dense_s3,8000.0,9430.0,1430.0,0.17875
9.0,0.2,13,transformer_add97_permuted_dense_s1,8000.0,9430.0,1430.0,0.17875
9.0,0.2,14,transformer_add97_permuted_s4,12000.0,10854.0,-1146.0,-0.0955
9.0,0.2,15,transformer_add97_permuted_s1,12000.0,12594.0,594.0,0.0495
9.0,0.2,16,transformer_add97_permuted_s3,12000.0,12594.0,594.0,0.0495
9.0,0.2,17,transformer_add97_permuted_dense_s0,8000.0,9430.0,1430.0,0.17875
9.0,0.2,18,transformer_add97_permuted_dense_s4,8000.0,8938.0,938.0,0.11725
9.0,0.2,19,transformer_add97_permuted_dense_s1,8000.0,9430.0,1430.0,0.17875
9.0,0.2,20,transformer_add97_permuted_s4,12000.0,10854.0,-1146.0,-0.0955
9.0,0.2,21,transformer_add97_permuted_dense_s4,8000.0,8938.0,938.0,0.11725
9.0,0.2,22,transformer_add97_permuted_s1,12000.0,12594.0,594.0,0.0495
9.0,0.2,23,transformer_add97_permuted_dense_s3,8000.0,9430.0,1430.0,0.17875
9.0,0.2,24,transformer_add97_permuted_s4,12000.0,10854.0,-1146.0,-0.0955
9.0,0.2,25,transformer_add97_permuted_dense_s1,8000.0,9430.0,1430.0,0.17875
9.0,0.2,26,transformer_add97_permuted_dense_s1,8000.0,9430.0,1430.0,0.17875
9.0,0.2,27,transformer_add97_permuted_dense_s4,8000.0,8938.0,938.0,0.11725
9.0,0.2,28,transformer_add97_permuted_s0,12000.0,14613.0,2613.0,0.21775
9.0,0.2,29,transformer_add97_permuted_s1,12000.0,12594.0,594.0,0.0495
9.0,0.2,30,transformer_add97_permuted_s3,12000.0,12594.0,594.0,0.0495
9.0,0.2,31,transformer_add97_permuted_dense_s3,8000.0,9430.0,1430.0,0.17875
9.0,0.2,32,transformer_add97_permuted_s4,12000.0,10854.0,-1146.0,-0.0955
9.0,0.2,33,transformer_add97_permuted_s2,12000.0,14613.0,2613.0,0.21775
9.0,0.2,34,transformer_add97_permuted_s0,12000.0,14613.0,2613.0,0.21775
9.0,0.2,35,transformer_add97_permuted_dense_s2,8000.0,7613.0,-387.0,-0.048375
9.0,0.2,36,transformer_add97_permuted_s2,12000.0,14613.0,2613.0,0.21775
9.0,0.2,37,transformer_add97_permuted_dense_s1,8000.0,9430.0,1430.0,0.17875
9.0,0.2,38,transformer_add97_permuted_dense_s0,8000.0,9430.0,1430.0,0.17875
9.0,0.2,39,transformer_add97_permuted_s2,12000.0,14613.0,2613.0,0.21775
9.0,0.35,0,transformer_add97_permuted_dense_s2,14000.0,15265.0,1265.0,0.09035714285714286
9.0,0.35,1,transformer_add97_permuted_s1,21000.0,24589.0,3589.0,0.1709047619047619
9.0,0.35,2,transformer_add97_permuted_s0,21000.0,22827.0,1827.0,0.087
9.0,0.35,3,transformer_add97_permuted_dense_s4,14000.0,15265.0,1265.0,0.09035714285714286
9.0,0.35,4,transformer_add97_permuted_dense_s4,14000.0,15265.0,1265.0,0.09035714285714286
9.0,0.35,5,transformer_add97_permuted_dense_s1,14000.0,16104.0,2104.0,0.15028571428571427
9.0,0.35,6,transformer_add97_permuted_dense_s3,14000.0,14469.0,469.0,0.0335
9.0,0.35,7,transformer_add97_permuted_s1,21000.0,24589.0,3589.0,0.1709047619047619
9.0,0.35,8,transformer_add97_permuted_dense_s3,14000.0,14469.0,469.0,0.0335
9.0,0.35,9,transformer_add97_permuted_s2,21000.0,24589.0,3589.0,0.1709047619047619
9.0,0.35,10,transformer_add97_permuted_s4,21000.0,24589.0,3589.0,0.1709047619047619
9.0,0.35,11,transformer_add97_permuted_dense_s1,14000.0,16104.0,2104.0,0.15028571428571427
9.0,0.35,12,transformer_add97_permuted_dense_s1,14000.0,16104.0,2104.0,0.15028571428571427
9.0,0.35,13,transformer_add97_permuted_s1,21000.0,24589.0,3589.0,0.1709047619047619
9.0,0.35,14,transformer_add97_permuted_dense_s2,14000.0,15265.0,1265.0,0.09035714285714286
9.0,0.35,15,transformer_add97_permuted_dense_s3,14000.0,14469.0,469.0,0.0335
9.0,0.35,16,transformer_add97_permuted_s4,21000.0,24589.0,3589.0,0.1709047619047619
9.0,0.35,17,transformer_add97_permuted_s4,21000.0,24589.0,3589.0,0.1709047619047619
9.0,0.35,18,transformer_add97_permuted_s4,21000.0,24589.0,3589.0,0.1709047619047619
9.0,0.35,19,transformer_add97_permuted_s2,21000.0,24589.0,3589.0,0.1709047619047619
9.0,0.35,20,transformer_add97_permuted_dense_s0,14000.0,15265.0,1265.0,0.09035714285714286
9.0,0.35,21,transformer_add97_permuted_dense_s2,14000.0,15265.0,1265.0,0.09035714285714286
9.0,0.35,22,transformer_add97_permuted_s1,21000.0,24589.0,3589.0,0.1709047619047619
9.0,0.35,23,transformer_add97_permuted_s4,21000.0,24589.0,3589.0,0.1709047619047619
9.0,0.35,24,transformer_add97_permuted_dense_s2,14000.0,15265.0,1265.0,0.09035714285714286
9.0,0.35,25,transformer_add97_permuted_dense_s0,14000.0,15265.0,1265.0,0.09035714285714286
9.0,0.35,26,transformer_add97_permuted_s2,21000.0,24589.0,3589.0,0.1709047619047619
9.0,0.35,27,transformer_add97_permuted_dense_s1,14000.0,16104.0,2104.0,0.15028571428571427
9.0,0.35,28,transformer_add97_permuted_s3,21000.0,21192.0,192.0,0.009142857142857144
9.0,0.35,29,transformer_add97_permuted_dense_s2,14000.0,15265.0,1265.0,0.09035714285714286
9.0,0.35,30,transformer_add97_permuted_dense_s1,14000.0,16104.0,2104.0,0.15028571428571427
9.0,0.35,31,transformer_add97_permuted_s2,21000.0,24589.0,3589.0,0.1709047619047619
9.0,0.35,32,transformer_add97_permuted_dense_s2,14000.0,15265.0,1265.0,0.09035714285714286
9.0,0.35,33,transformer_add97_permuted_s0,21000.0,22827.0,1827.0,0.087
9.0,0.35,34,transformer_add97_permuted_s4,21000.0,24589.0,3589.0,0.1709047619047619
9.0,0.35,35,transformer_add97_permuted_dense_s4,14000.0,15265.0,1265.0,0.09035714285714286
9.0,0.35,36,transformer_add97_permuted_dense_s2,14000.0,15265.0,1265.0,0.09035714285714286
9.0,0.35,37,transformer_add97_permuted_dense_s2,14000.0,15265.0,1265.0,0.09035714285714286
9.0,0.35,38,transformer_add97_permuted_dense_s4,14000.0,15265.0,1265.0,0.09035714285714286
9.0,0.35,39,transformer_add97_permuted_s2,21000.0,24589.0,3589.0,0.1709047619047619
9.0,0.5,0,transformer_add97_permuted_s2,30000.0,33103.0,3103.0,0.10343333333333334
9.0,0.5,1,transformer_add97_permuted_dense_s1,20000.0,22202.0,2202.0,0.1101
9.0,0.5,2,transformer_add97_permuted_s0,30000.0,35658.0,5658.0,0.1886
9.0,0.5,3,transformer_add97_permuted_dense_s2,20000.0,21045.0,1045.0,0.05225
9.0,0.5,4,transformer_add97_permuted_dense_s3,20000.0,22202.0,2202.0,0.1101
9.0,0.5,5,transformer_add97_permuted_s3,30000.0,33103.0,3103.0,0.10343333333333334
9.0,0.5,6,transformer_add97_permuted_s3,30000.0,33103.0,3103.0,0.10343333333333334
9.0,0.5,7,transformer_add97_permuted_dense_s4,20000.0,22202.0,2202.0,0.1101
9.0,0.5,8,transformer_add97_permuted_dense_s2,20000.0,21045.0,1045.0,0.05225
9.0,0.5,9,transformer_add97_permuted_s3,30000.0,33103.0,3103.0,0.10343333333333334
9.0,0.5,10,transformer_add97_permuted_s3,30000.0,33103.0,3103.0,0.10343333333333334
9.0,0.5,11,transformer_add97_permuted_s1,30000.0,35658.0,5658.0,0.1886
9.0,0.5,12,transformer_add97_permuted_dense_s4,20000.0,22202.0,2202.0,0.1101
9.0,0.5,13,transformer_add97_permuted_s2,30000.0,33103.0,3103.0,0.10343333333333334
9.0,0.5,14,transformer_add97_permuted_dense_s3,20000.0,22202.0,2202.0,0.1101
9.0,0.5,15,transformer_add97_permuted_dense_s1,20000.0,22202.0,2202.0,0.1101
9.0,0.5,16,transformer_add97_permuted_s4,30000.0,33103.0,3103.0,0.10343333333333334
9.0,0.5,17,transformer_add97_permuted_dense_s3,20000.0,22202.0,2202.0,0.1101
9.0,0.5,18,transformer_add97_permuted_s1,30000.0,35658.0,5658.0,0.1886
9.0,0.5,19,transformer_add97_permuted_dense_s3,20000.0,22202.0,2202.0,0.1101
9.0,0.5,20,transformer_add97_permuted_s4,30000.0,33103.0,3103.0,0.10343333333333334
9.0,0.5,21,transformer_add97_permuted_dense_s4,20000.0,22202.0,2202.0,0.1101
9.0,0.5,22,transformer_add97_permuted_s0,30000.0,35658.0,5658.0,0.1886
9.0,0.5,23,transformer_add97_permuted_dense_s4,20000.0,22202.0,2202.0,0.1101
9.0,0.5,24,transformer_add97_permuted_s3,30000.0,33103.0,3103.0,0.10343333333333334
9.0,0.5,25,transformer_add97_permuted_s3,30000.0,33103.0,3103.0,0.10343333333333334
9.0,0.5,26,transformer_add97_permuted_s0,30000.0,35658.0,5658.0,0.1886
9.0,0.5,27,transformer_add97_permuted_dense_s1,20000.0,22202.0,2202.0,0.1101
9.0,0.5,28,transformer_add97_permuted_dense_s3,20000.0,22202.0,2202.0,0.1101
9.0,0.5,29,transformer_add97_permuted_s3,30000.0,33103.0,3103.0,0.10343333333333334
9.0,0.5,30,transformer_add97_permuted_s4,30000.0,33103.0,3103.0,0.10343333333333334
9.0,0.5,31,transformer_add97_permuted_s3,30000.0,33103.0,3103.0,0.10343333333333334
9.0,0.5,32,transformer_add97_permuted_s4,30000.0,33103.0,3103.0,0.10343333333333334
