run,condition,recorded_every,stride,n_windows,n_finite,ph_dim_terminal,ph_dim_median,slope_median,steps_spanned
transformer_add113_f0.3_wd1.0_dense_s4,transformer_add113_f0.3_wd1.0_dense,20,60,13,13,1.3219393052465265,1.3219393052465265,0.24353561768593332,11940
transformer_add113_f0.3_wd1.0_dense_s4,transformer_add113_f0.3_wd1.0_dense,20,100,7,7,1.55552031731351,1.5021442157428484,0.3342849577825158,19900
transformer_add97_f0.2_wd1.0_traj_s0,transformer_add97_f0.2_wd1.0_traj,20,20,57,57,1.1224754563820645,1.1148162081981687,0.10299115437489152,3980
transformer_add97_f0.2_wd1.0_traj_s0,transformer_add97_f0.2_wd1.0_traj,20,40,27,27,1.2405566955824612,1.1928293762773448,0.1616571322875519,7960
transformer_add97_f0.2_wd1.0_traj_s0,transformer_add97_f0.2_wd1.0_traj,20,60,17,17,1.3045312928147759,1.2953487763163298,0.2280071450379819,11940
transformer_add97_f0.2_wd1.0_traj_s0,transformer_add97_f0.2_wd1.0_traj,20,100,9,9,1.5139947016836164,1.5063375149448244,0.3361381562374292,19900
transformer_add97_f0.2_wd1.0_traj_s1,transformer_add97_f0.2_wd1.0_traj,20,20,57,57,1.1125484314372065,1.1125484314372065,0.10116272537620204,3980
transformer_add97_f0.2_wd1.0_traj_s1,transformer_add97_f0.2_wd1.0_traj,20,40,27,27,1.2180485287259766,1.2043447247303198,0.16967295204956975,7960
transformer_add97_f0.2_wd1.0_traj_s1,transformer_add97_f0.2_wd1.0_traj,20,60,17,17,1.2901472690574334,1.3133740300960748,0.23860227392584513,11940
transformer_add97_f0.2_wd1.0_traj_s1,transformer_add97_f0.2_wd1.0_traj,20,100,9,9,1.5470806369796666,1.5386529191120488,0.3500808482675245,19900
transformer_add97_f0.2_wd1.0_traj_s2,transformer_add97_f0.2_wd1.0_traj,20,20,57,57,1.0959872725713002,1.1100275385407394,0.0991214494420413,3980
transformer_add97_f0.2_wd1.0_traj_s2,transformer_add97_f0.2_wd1.0_traj,20,40,27,27,1.2103579602153973,1.2004313968989972,0.16696614018656936,7960
transformer_add97_f0.2_wd1.0_traj_s2,transformer_add97_f0.2_wd1.0_traj,20,60,17,17,1.2804267037492112,1.296783196738767,0.22886107522455293,11940
transformer_add97_f0.2_wd1.0_traj_s2,transformer_add97_f0.2_wd1.0_traj,20,100,9,9,1.5728445840800027,1.5356283164293107,0.34880075516891346,19900
transformer_add97_f0.2_wd1.0_traj_s3,transformer_add97_f0.2_wd1.0_traj,20,20,57,57,1.0886359124283085,1.1170240794452924,0.10476415110353392,3980
transformer_add97_f0.2_wd1.0_traj_s3,transformer_add97_f0.2_wd1.0_traj,20,40,27,27,1.1582729578775879,1.2047032742325507,0.169920077923716,7960
transformer_add97_f0.2_wd1.0_traj_s3,transformer_add97_f0.2_wd1.0_traj,20,60,17,17,1.2719406443975756,1.3072184364535542,0.23501690909977435,11940
transformer_add97_f0.2_wd1.0_traj_s3,transformer_add97_f0.2_wd1.0_traj,20,100,9,9,1.4974846178929329,1.4974846178929329,0.33221350787090487,19900
transformer_add97_f0.2_wd1.0_traj_s4,transformer_add97_f0.2_wd1.0_traj,20,20,57,57,1.1396421185775294,1.1125458769307852,0.10116066156414964,3980
transformer_add97_f0.2_wd1.0_traj_s4,transformer_add97_f0.2_wd1.0_traj,20,40,27,27,1.158973784520795,1.1972256600479991,0.16473557711759365,7960
transformer_add97_f0.2_wd1.0_traj_s4,transformer_add97_f0.2_wd1.0_traj,20,60,17,17,1.2350521118573436,1.2767278243052604,0.21674770380746072,11940
transformer_add97_f0.2_wd1.0_traj_s4,transformer_add97_f0.2_wd1.0_traj,20,100,9,9,1.4688799015256173,1.4856566910180757,0.32689698363978675,19900
transformer_add97_f0.3_wd0.0_stablemax_traj_s0,transformer_add97_f0.3_wd0.0_stablemax_traj,20,20,37,0,,,,3980
transformer_add97_f0.3_wd0.0_stablemax_traj_s0,transformer_add97_f0.3_wd0.0_stablemax_traj,20,40,17,0,,,,7960
transformer_add97_f0.3_wd0.0_stablemax_traj_s0,transformer_add97_f0.3_wd0.0_stablemax_traj,20,60,10,0,,,,11940
transformer_add97_f0.3_wd0.0_stablemax_traj_s0,transformer_add97_f0.3_wd0.0_stablemax_traj,20,100,5,0,,,,19900
transformer_add97_f0.3_wd0.0_stablemax_traj_s1,transformer_add97_f0.3_wd0.0_stablemax_traj,20,20,37,37,4.306896220108458,2.501480557024532,0.600236748915817,3980
transformer_add97_f0.3_wd0.0_stablemax_traj_s1,transformer_add97_f0.3_wd0.0_stablemax_traj,20,40,17,17,3.4976267160617316,2.278413803821101,0.5610981647306947,7960
transformer_add97_f0.3_wd0.0_stablemax_traj_s1,transformer_add97_f0.3_wd0.0_stablemax_traj,20,60,10,10,2.652036681074013,1.9515984597756153,0.48669199957405707,11940
transformer_add97_f0.3_wd0.0_stablemax_traj_s1,transformer_add97_f0.3_wd0.0_stablemax_traj,20,100,5,5,2.0976606726259375,1.6200343002204514,0.3827291188440135,19900
transformer_add97_f0.3_wd0.0_stablemax_traj_s2,transformer_add97_f0.3_wd0.0_stablemax_traj,20,20,37,0,,,,3980
transformer_add97_f0.3_wd0.0_stablemax_traj_s2,transformer_add97_f0.3_wd0.0_stablemax_traj,20,40,17,0,,,,7960
transformer_add97_f0.3_wd0.0_stablemax_traj_s2,transformer_add97_f0.3_wd0.0_stablemax_traj,20,60,10,0,,,,11940
transformer_add97_f0.3_wd0.0_stablemax_traj_s2,transformer_add97_f0.3_wd0.0_stablemax_traj,20,100,5,0,,,,19900
transformer_add97_f0.3_wd0.0_stablemax_traj_s3,transformer_add97_f0.3_wd0.0_stablemax_traj,20,20,37,37,4.379632447299867,2.371141510022485,0.5782622016555573,3980
transformer_add97_f0.3_wd0.0_stablemax_traj_s3,transformer_add97_f0.3_wd0.0_stablemax_traj,20,40,17,17,3.1375674469426733,1.8714166942953203,0.46564546364883813,7960
transformer_add97_f0.3_wd0.0_stablemax_traj_s3,transformer_add97_f0.3_wd0.0_stablemax_traj,20,60,10,10,1.970218140405855,1.5410545750315507,0.35108302202882347,11940
transformer_add97_f0.3_wd0.0_stablemax_traj_s3,transformer_add97_f0.3_wd0.0_stablemax_traj,20,100,5,5,1.442862253874572,1.3966658435586488,0.2840091245791191,19900
transformer_add97_f0.3_wd0.0_stablemax_traj_s4,transformer_add97_f0.3_wd0.0_stablemax_traj,20,20,37,0,,,,3980
transformer_add97_f0.3_wd0.0_stablemax_traj_s4,transformer_add97_f0.3_wd0.0_stablemax_traj,20,40,17,0,,,,7960
transformer_add97_f0.3_wd0.0_stablemax_traj_s4,transformer_add97_f0.3_wd0.0_stablemax_traj,20,60,10,0,,,,11940
transformer_add97_f0.3_wd0.0_stablemax_traj_s4,transformer_add97_f0.3_wd0.0_stablemax_traj,20,100,5,0,,,,19900
transformer_add97_f0.3_wd0.1_traj_s0,transformer_add97_f0.3_wd0.1_traj,20,20,147,147,1.031166307609607,1.1186158161311814,0.10603802880368995,3980
transformer_add97_f0.3_wd0.1_traj_s0,transformer_add97_f0.3_wd0.1_traj,20,40,72,72,1.1513424933581824,1.1391649841233298,0.12216397525559741,7960
transformer_add97_f0.3_wd0.1_traj_s0,transformer_add97_f0.3_wd0.1_traj,20,60,47,47,1.1339115264398993,1.182595177100938,0.15440209856813308,11940
transformer_add97_f0.3_wd0.1_traj_s0,transformer_add97_f0.3_wd0.1_traj,20,100,27,27,1.2479530359946793,1.2903349459861009,0.22500742686172917,19900
transformer_add97_f0.3_wd0.1_traj_s1,transformer_add97_f0.3_wd0.1_traj,20,20,147,147,1.0759599994331972,1.1143347337431657,0.10260358066655917,3980
transformer_add97_f0.3_wd0.1_traj_s1,transformer_add97_f0.3_wd0.1_traj,20,40,72,72,1.1342621557595027,1.137442875636141,0.12083438846103242,7960
transformer_add97_f0.3_wd0.1_traj_s1,transformer_add97_f0.3_wd0.1_traj,20,60,47,47,1.1561399624470299,1.1781238286460425,0.1511927900233977,11940
transformer_add97_f0.3_wd0.1_traj_s1,transformer_add97_f0.3_wd0.1_traj,20,100,27,27,1.266411500194811,1.2649405024673517,0.2094489835297134,19900
transformer_add97_f0.3_wd0.1_traj_s2,transformer_add97_f0.3_wd0.1_traj,20,20,147,147,1.0376615425946583,1.114351451448913,0.10261704357294976,3980
transformer_add97_f0.3_wd0.1_traj_s2,transformer_add97_f0.3_wd0.1_traj,20,40,72,72,1.0859841456815313,1.1421593332007753,0.12446521657056844,7960
transformer_add97_f0.3_wd0.1_traj_s2,transformer_add97_f0.3_wd0.1_traj,20,60,47,47,1.15001612454599,1.1862393432833218,0.15699980306490338,11940
transformer_add97_f0.3_wd0.1_traj_s2,transformer_add97_f0.3_wd0.1_traj,20,100,27,27,1.2399038229525323,1.290539660357079,0.22513036157036015,19900
transformer_add97_f0.3_wd0.1_traj_s3,transformer_add97_f0.3_wd0.1_traj,20,20,147,147,1.1439368869362236,1.120951932482757,0.10790108743990916,3980
transformer_add97_f0.3_wd0.1_traj_s3,transformer_add97_f0.3_wd0.1_traj,20,40,72,72,1.1383302873205483,1.1381992066929403,0.12141916161716576,7960
transformer_add97_f0.3_wd0.1_traj_s3,transformer_add97_f0.3_wd0.1_traj,20,60,47,47,1.1551336942071901,1.1655101017229659,0.14200657847434647,11940
transformer_add97_f0.3_wd0.1_traj_s3,transformer_add97_f0.3_wd0.1_traj,20,100,27,27,1.3437738660240075,1.2650890362125808,0.20954180190052354,19900
transformer_add97_f0.3_wd0.1_traj_s4,transformer_add97_f0.3_wd0.1_traj,20,20,147,147,1.0866071249818057,1.1271536837907095,0.1128095357529962,3980
transformer_add97_f0.3_wd0.1_traj_s4,transformer_add97_f0.3_wd0.1_traj,20,40,72,72,1.170326083052851,1.1486359290152155,0.1294020586468787,7960
transformer_add97_f0.3_wd0.1_traj_s4,transformer_add97_f0.3_wd0.1_traj,20,60,47,47,1.1943203804479519,1.1886296563325243,0.15869506143278853,11940
transformer_add97_f0.3_wd0.1_traj_s4,transformer_add97_f0.3_wd0.1_traj,20,100,27,27,1.2648552916611278,1.2818834912256047,0.2198979026994854,19900
transformer_add97_f0.3_wd1.0_dense_s0,transformer_add97_f0.3_wd1.0_dense,20,20,47,47,1.114927472513267,1.1228476512317078,0.10940722999861117,3980
transformer_add97_f0.3_wd1.0_dense_s0,transformer_add97_f0.3_wd1.0_dense,20,40,22,22,1.1683857651608835,1.2079853146347783,0.17216823022573777,7960
transformer_add97_f0.3_wd1.0_dense_s0,transformer_add97_f0.3_wd1.0_dense,20,60,13,13,1.2688271994002498,1.2933886680204527,0.22683720313514696,11940
transformer_add97_f0.3_wd1.0_dense_s0,transformer_add97_f0.3_wd1.0_dense,20,100,7,7,1.5054756662838302,1.4892135037610654,0.3285046116796135,19900
transformer_add97_f0.3_wd1.0_dense_s1,transformer_add97_f0.3_wd1.0_dense,20,20,47,47,1.1418325734875427,1.1175425850076344,0.10517951314296581,3980
transformer_add97_f0.3_wd1.0_dense_s1,transformer_add97_f0.3_wd1.0_dense,20,40,22,22,1.1858945875640428,1.1963608574688358,0.16413179670081618,7960
transformer_add97_f0.3_wd1.0_dense_s1,transformer_add97_f0.3_wd1.0_dense,20,60,13,13,1.2711463330963035,1.2852950001676495,0.22196849760594772,11940
transformer_add97_f0.3_wd1.0_dense_s1,transformer_add97_f0.3_wd1.0_dense,20,100,7,7,1.4945927045843839,1.4797812053213988,0.3242244215537211,19900
transformer_add97_f0.3_wd1.0_dense_s2,transformer_add97_f0.3_wd1.0_dense,20,20,47,47,1.1184809339650854,1.118795052240886,0.10618124562040743,3980
transformer_add97_f0.3_wd1.0_dense_s2,transformer_add97_f0.3_wd1.0_dense,20,40,22,22,1.1763493771011662,1.213775378646801,0.17612378805446288,7960
transformer_add97_f0.3_wd1.0_dense_s2,transformer_add97_f0.3_wd1.0_dense,20,60,13,13,1.2867189275354896,1.3156398779612295,0.23991358368549776,11940
transformer_add97_f0.3_wd1.0_dense_s2,transformer_add97_f0.3_wd1.0_dense,20,100,7,7,1.4540401767883468,1.5388100546122385,0.3501472147243099,19900
transformer_add97_f0.3_wd1.0_dense_s3,transformer_add97_f0.3_wd1.0_dense,20,20,47,47,1.0952498344059116,1.121835695114602,0.10860386743368503,3980
transformer_add97_f0.3_wd1.0_dense_s3,transformer_add97_f0.3_wd1.0_dense,20,40,22,22,1.1355605431950784,1.2030369383439528,0.16874672082742231,7960
transformer_add97_f0.3_wd1.0_dense_s3,transformer_add97_f0.3_wd1.0_dense,20,60,13,13,1.2453703262798308,1.2733988539249483,0.21470009422598543,11940
transformer_add97_f0.3_wd1.0_dense_s3,transformer_add97_f0.3_wd1.0_dense,20,100,7,7,1.4424153999496128,1.4766782420993665,0.32280440552959033,19900
transformer_add97_f0.3_wd1.0_dense_s4,transformer_add97_f0.3_wd1.0_dense,20,20,47,47,1.0998627785150927,1.1114994593730494,0.10031445218690584,3980
transformer_add97_f0.3_wd1.0_dense_s4,transformer_add97_f0.3_wd1.0_dense,20,40,22,22,1.1529713168204563,1.2004178404810197,0.1669330675822765,7960
transformer_add97_f0.3_wd1.0_dense_s4,transformer_add97_f0.3_wd1.0_dense,20,60,13,13,1.2758857699681554,1.294544374789987,0.22752744558313862,11940
transformer_add97_f0.3_wd1.0_dense_s4,transformer_add97_f0.3_wd1.0_dense,20,100,7,7,1.5205552769464317,1.4982791558770772,0.3325676352918289,19900
transformer_add97_f0.4_wd0.0_ortho_traj_s0,transformer_add97_f0.4_wd0.0_ortho_traj,20,20,17,17,2.0017577155973223,1.7860065857761986,0.4400916502973589,3980
transformer_add97_f0.4_wd0.0_ortho_traj_s0,transformer_add97_f0.4_wd0.0_ortho_traj,20,40,7,7,1.965348264103949,1.965348264103949,0.4911843268368903,7960
transformer_add97_f0.4_wd0.0_ortho_traj_s0,transformer_add97_f0.4_wd0.0_ortho_traj,20,60,3,3,2.09363642011731,1.9553407351464986,0.488580183481383,11940
transformer_add97_f0.4_wd0.0_ortho_traj_s0,transformer_add97_f0.4_wd0.0_ortho_traj,20,100,1,1,1.7271330427092229,1.7271330427092229,0.42100580831261514,19900
transformer_add97_f0.4_wd0.0_ortho_traj_s1,transformer_add97_f0.4_wd0.0_ortho_traj,20,20,17,17,1.047318752505808,1.0425404703425247,0.04080462250884914,3980
transformer_add97_f0.4_wd0.0_ortho_traj_s1,transformer_add97_f0.4_wd0.0_ortho_traj,20,40,7,7,1.038951173984076,1.0407120168949608,0.03911938772113745,7960
transformer_add97_f0.4_wd0.0_ortho_traj_s1,transformer_add97_f0.4_wd0.0_ortho_traj,20,60,3,3,1.0380217990223224,1.0583189159391468,0.055105238185594464,11940
transformer_add97_f0.4_wd0.0_ortho_traj_s1,transformer_add97_f0.4_wd0.0_ortho_traj,20,100,1,1,1.2512416737602936,1.2512416737602936,0.20079388261202136,19900
transformer_add97_f0.4_wd0.0_ortho_traj_s2,transformer_add97_f0.4_wd0.0_ortho_traj,20,20,17,17,1.0353903519465082,1.0336699091545654,0.03257317336644124,3980
transformer_add97_f0.4_wd0.0_ortho_traj_s2,transformer_add97_f0.4_wd0.0_ortho_traj,20,40,7,7,1.0355757932353153,1.0355757932353153,0.034353635405256634,7960
transformer_add97_f0.4_wd0.0_ortho_traj_s2,transformer_add97_f0.4_wd0.0_ortho_traj,20,60,3,3,1.0361961531973023,1.1095764352561306,0.0987551932200475,11940
transformer_add97_f0.4_wd0.0_ortho_traj_s2,transformer_add97_f0.4_wd0.0_ortho_traj,20,100,1,1,1.4783649020471539,1.4783649020471539,0.3235770149742746,19900
transformer_add97_f0.4_wd0.0_ortho_traj_s3,transformer_add97_f0.4_wd0.0_ortho_traj,20,20,17,17,1.851893039604674,1.8345234508079598,0.45489930937673184,3980
transformer_add97_f0.4_wd0.0_ortho_traj_s3,transformer_add97_f0.4_wd0.0_ortho_traj,20,40,7,7,2.1296146628691264,1.8979287830672062,0.47310984009425305,7960
transformer_add97_f0.4_wd0.0_ortho_traj_s3,transformer_add97_f0.4_wd0.0_ortho_traj,20,60,3,3,1.9348064077568456,1.9348064077568456,0.48315242497084304,11940
