run,t_g,h1_max_persistence__0.5-0.9 / 1.2,h1_total_persistence__0.5-0.9 / 1.2,h1_max_persistence_normalised__0.5-0.9 / 1.2,h1_total_persistence_normalised__0.5-0.9 / 1.2,h0_total_persistence__0.5-0.9 / 1.2,lid__0.5-0.9 / 1.2,h1_max_persistence__0.7-0.9 / 1.2,h1_total_persistence__0.7-0.9 / 1.2,h1_max_persistence_normalised__0.7-0.9 / 1.2,h1_total_persistence_normalised__0.7-0.9 / 1.2,h0_total_persistence__0.7-0.9 / 1.2,lid__0.7-0.9 / 1.2,h1_max_persistence__0.3-0.9 / 1.2,h1_total_persistence__0.3-0.9 / 1.2,h1_max_persistence_normalised__0.3-0.9 / 1.2,h1_total_persistence_normalised__0.3-0.9 / 1.2,h0_total_persistence__0.3-0.9 / 1.2,lid__0.3-0.9 / 1.2,h1_max_persistence__0.5-0.9 / 1.5,h1_total_persistence__0.5-0.9 / 1.5,h1_max_persistence_normalised__0.5-0.9 / 1.5,h1_total_persistence_normalised__0.5-0.9 / 1.5,h0_total_persistence__0.5-0.9 / 1.5,lid__0.5-0.9 / 1.5,h1_max_persistence__0.5-0.9 / 1.05,h1_total_persistence__0.5-0.9 / 1.05,h1_max_persistence_normalised__0.5-0.9 / 1.05,h1_total_persistence_normalised__0.5-0.9 / 1.05,h0_total_persistence__0.5-0.9 / 1.05,lid__0.5-0.9 / 1.05
mlp_add97_f0.3_wd0.0_stablemax_ce_s0,600.0,4.7867169046479505,1.575262178534248,7.36054027571698,2.4297275184182365,0.6632424880060168,1.2023086923567596,4.803428666984911,1.5421446554623672,7.370659244396198,2.3825894849567604,0.6664210775230744,1.2840448176112622,4.972242517928993,1.6573764900859334,7.583237052061451,2.5439582293104532,0.6636357351562696,1.2643357712455208,4.791438583777227,1.5969214076963447,7.366180826851391,2.4611779022979623,0.6630416289564448,1.202790190047126,4.7835327867740665,1.5655055013683374,7.352462731294976,2.4152631123253965,0.6633257852804623,1.2019570822080825
mlp_add97_f0.3_wd0.0_stablemax_ce_s1,700.0,5.663795218019083,3.11234853738148,10.784373005261454,6.065672649829234,0.5345620560654224,0.7388039604354149,5.462331137444333,3.1024241782066597,10.522584297920409,5.970327927144004,0.5392744419924439,0.7646820433925228,5.9026580457765245,3.2248569072427125,11.417001036543056,6.2909452435719935,0.5321518282732912,0.6602807153842001,5.665786192624584,3.113341170049437,10.7888102357017,6.070362562937847,0.5344025684065193,0.7383415940472715,5.660697224043154,3.1118644752888382,10.78112446130733,6.063163408385382,0.5346796745130586,0.7392762799330991
mlp_add97_f0.3_wd1.0_softmax_ce_s0,14300.0,1.6519235707272861,4.195591831953272,3.223276355543278,8.267078136760771,0.5280758539958447,2.619637835274258,1.547812736703022,4.5566954968142825,2.955988351286343,8.666182065353546,0.5388732033490131,2.6902148025433132,1.6868598250543239,4.039132508982818,3.3994022214330193,8.018660872730866,0.5204188417751424,2.6303376471041604,1.653685975379503,4.195372334381787,3.2354271641806505,8.274115573577387,0.5273001877731632,2.6230003188146016,1.637303526923948,4.195152836810302,3.186299818170236,8.263272168193996,0.5288411812514956,2.58212611798354
mlp_add97_f0.3_wd1.0_softmax_ce_s1,13200.0,2.141332290511389,2.2704420079248107,4.331232515101209,4.951800487792166,0.5034081426577199,2.6241193930733777,2.07580470751211,2.286262710050046,4.21618185109267,4.730631489136347,0.5204867691095872,2.895469886278803,2.154106099495686,2.124362352871692,4.544593158383703,4.561838840308645,0.49145823214715056,2.5416247621557893,2.605818550147245,2.356410247861206,5.478550090818463,5.433112908758757,0.4848729424680327,2.6006479691660895,1.6721947108646003,2.120566324088615,3.2512583551152754,4.31621316624793,0.5249623674773394,2.5943346863773487
mlp_add97_f0.3_wd1.0_softmax_ce_s2,12100.0,2.0052443532010904,0.3875335215491977,4.370455262338772,0.8341317035765378,0.47680148252987625,3.0515626169218955,2.080927056953594,0.3997813400914525,4.333297381874389,0.8579120628151532,0.48989446357950894,2.91829633900889,1.8562852979626008,0.37157876610774854,4.070527737134109,0.8295540959666563,0.47001813910310597,2.9721257889631882,2.006391686286593,0.3844727631105729,4.373078688140758,0.828584557522254,0.47570973380169934,3.0666496239220735,2.0040970201155877,0.39022117262570394,4.36797707678034,0.8393410164642332,0.477377252093231,3.0413331757242643
mlp_add97_f0.3_wd1.0_softmax_ce_s3,9500.0,1.2821082672382644,1.4690647147702873,2.3673131737644417,2.71179394570642,0.5505769102433865,1.7369036467029169,1.3095946254073714,1.5396214658818341,2.3474696135291735,2.7445609506672874,0.5694992470293261,1.6706727487053328,1.2739304341006237,1.401672404820907,2.3915822937632383,2.6424462299263958,0.5431634718035684,1.9879249723432153,1.2966563767610109,1.4775361266790883,2.3948022045437543,2.7274713866049547,0.5501135161983138,1.7324651801555586,1.2821082672382644,1.4860075385878893,2.3443722624488363,2.74314882750349,0.5510045522205803,1.7280267136082004
mlp_add97_f0.3_wd1.0_softmax_ce_s4,12100.0,1.5816923120596091,0.9462052147762617,3.2967092504735738,1.9377388935246211,0.5022420278333325,3.0140574854363114,1.6217138981197694,0.9913132749859015,3.3227962335425825,2.045402862993133,0.513172798355197,3.2530912015450193,1.5909625870271236,0.9028103820421995,3.315159600006003,1.8792993654137804,0.4960247271495034,2.860285902811438,1.5876993447434455,0.9447989191263929,3.3066175934919158,1.934032678652891,0.5017322385904504,2.997312581470156,1.581587401893567,0.9472001895644171,3.2962252210818113,1.9392864257607465,0.502444263048485,2.997312581470156
mlp_add97_f0.4_wd0.0_softmax_ce_s0,900.0,0.9868589365682848,1.0825220637750168,0.9795946568455159,1.0745556111509404,0.9945955712364928,1.0087169395968791,0.9701582302704239,1.0698664863781782,0.9642155309129236,1.0633142197810135,0.9951105509885395,1.0130310470290393,1.0482475055088525,1.0982546507401085,1.0417530740840746,1.0914524353510988,0.9937669435090847,1.002100403045485,0.9861270236058616,1.0825426470574966,0.978946088496563,1.0746711870666035,0.9945574217804531,1.0087453810801665,0.9873917425090154,1.0825173643954553,0.9800699268858342,1.0744586302500778,0.9946217328124126,1.0086843773673453
mlp_add97_f0.4_wd0.0_softmax_ce_s1,900.0,0.964712235456048,1.251186150283965,0.9656094940146985,1.2524674402265559,0.9876016874421655,0.9887143579192436,0.9416022569706621,1.2351355870366902,0.9413245119358289,1.2355104700970796,0.9888420638018491,0.9902594533540998,1.024478863261487,1.2680186934829998,1.0282391459171523,1.272792369384612,0.9859285195678861,0.9903294625571978,0.9650422717751133,1.252581789441503,0.9658952870083861,1.253688965135835,0.9875477533385981,0.9896834398528895,0.9653416654526823,1.2502174324196773,0.9661525489479896,1.2516202998115264,0.9876394918013959,0.9893425072266472
mlp_add97_f0.4_wd0.0_softmax_ce_s2,1100.0,1.038998282111683,0.9404273513905029,1.050237438938884,0.9500709664511621,0.9923360924023794,1.0016786381546667,1.034073540082608,0.9460903269583083,1.0420223637500143,0.9528335190093875,0.9932437435402341,1.0013456843817155,1.0577613719548573,0.9363093109376618,1.0708367236734602,0.9479600048125983,0.9911141037031082,1.0024716559158142,1.04011221706844,0.9401204266990143,1.0512484032600868,0.9498822625882691,0.9922744626634429,1.0014140499244162,1.0382739604241613,0.9406615284829318,1.049580524064628,0.9502209234367414,0.9923790159213958,1.0017004570350159
