run,condition,t_g,window,projection_dim,projection_seed,step,ph_dim,slope,r2,n_sizes
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,128,0,32980,1.0571941463472128,0.05409994611191169,0.18560151844891926,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,128,0,33980,1.2275574443011392,0.18537417157751823,0.7078981915676084,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,128,0,34980,1.1997155398664276,0.1664690780688423,0.8382877722877979,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,128,0,35980,1.15692569920962,0.13564025703364302,0.4354690100728633,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,128,0,36980,1.1746282475498646,0.1486668211105244,0.8528137022080762,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,128,0,37980,1.1057498807243251,0.09563634829881526,0.3434900420785658,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,128,0,38980,1.3476921090679281,0.2579907582217677,0.6557274231470752,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,128,0,39980,1.2052254133232596,0.17027969295583972,0.6184187364234921,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,128,0,40980,1.1559425686644642,0.13490511803249441,0.5409986337408408,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,128,0,41980,1.1805735301305325,0.15295407318726423,0.6767500342410895,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,128,0,42980,1.177740230800513,0.15091632785584858,0.6065413584849424,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,128,0,43980,1.0547410665052643,0.05190000488616707,0.21916744817480904,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,128,0,44980,1.1086791123871576,0.0980257598189567,0.38810955694920335,8.0
