n_seeds,observable,n_null_runs,null_min,null_max,power,minimum_detectable_ratio
2,h1_max_persistence,16,0.5373412428170623,1.5422955721966312,0.8,1.9799307372338255
2,h1_total_persistence,16,0.3973614671578934,2.6001801343482427,0.8,4.614836290315339
2,h1_max_persistence_normalised,16,0.7507386378190154,1.3164037341619659,0.8,1.6908823534812658
2,h1_total_persistence_normalised,16,0.4513591555815271,2.153484307846312,0.8,3.672085834680029
2,h0_total_persistence,16,0.7053122806836409,1.2021928669143314,0.8,1.3704912722571858
2,lid,16,0.6799856179720456,1.3817798590104606,0.8,1.7922160707767356
3,h1_max_persistence,16,0.5373412428170623,1.5422955721966312,0.8,1.9799307372338255
3,h1_total_persistence,16,0.3973614671578934,2.6001801343482427,0.8,4.614836290315339
3,h1_max_persistence_normalised,16,0.7507386378190154,1.3164037341619659,0.8,1.6908823534812658
3,h1_total_persistence_normalised,16,0.4513591555815271,2.153484307846312,0.8,3.672085834680029
3,h0_total_persistence,16,0.7053122806836409,1.2021928669143314,0.8,1.3704912722571858
3,lid,16,0.6799856179720456,1.3817798590104606,0.8,1.7922160707767356
4,h1_max_persistence,16,0.5373412428170623,1.5422955721966312,0.8,2.8702348699515428
4,h1_total_persistence,16,0.3973614671578934,2.6001801343482427,0.8,6.543614188224872
4,h1_max_persistence_normalised,16,0.7507386378190154,1.3164037341619659,0.8,1.753478065264197
4,h1_total_persistence_normalised,16,0.4513591555815271,2.153484307846312,0.8,4.771110281504719
4,h0_total_persistence,16,0.7053122806836409,1.2021928669143314,0.8,1.704483106049248
4,lid,16,0.6799856179720456,1.3817798590104606,0.8,2.0320721828373522
5,h1_max_persistence,16,0.5373412428170623,1.5422955721966312,0.8,2.8702348699515428
5,h1_total_persistence,16,0.3973614671578934,2.6001801343482427,0.8,6.543614188224872
5,h1_max_persistence_normalised,16,0.7507386378190154,1.3164037341619659,0.8,1.753478065264197
5,h1_total_persistence_normalised,16,0.4513591555815271,2.153484307846312,0.8,4.771110281504719
5,h0_total_persistence,16,0.7053122806836409,1.2021928669143314,0.8,1.704483106049248
5,lid,16,0.6799856179720456,1.3817798590104606,0.8,2.0320721828373522
6,h1_max_persistence,16,0.5373412428170623,1.5422955721966312,0.8,2.259618975795917
6,h1_total_persistence,16,0.3973614671578934,2.6001801343482427,0.8,5.236532186845058
6,h1_max_persistence_normalised,16,0.7507386378190154,1.3164037341619659,0.8,1.6644604206002644
6,h1_total_persistence_normalised,16,0.4513591555815271,2.153484307846312,0.8,3.672085834680029
6,h0_total_persistence,16,0.7053122806836409,1.2021928669143314,0.8,1.456976706138887
6,lid,16,0.6799856179720456,1.3817798590104606,0.8,1.8303957420431545
7,h1_max_persistence,16,0.5373412428170623,1.5422955721966312,0.8,1.9799307372338255
7,h1_total_persistence,16,0.3973614671578934,2.6001801343482427,0.8,4.614836290315339
7,h1_max_persistence_normalised,16,0.7507386378190154,1.3164037341619659,0.8,1.6908823534812658
7,h1_total_persistence_normalised,16,0.4513591555815271,2.153484307846312,0.8,3.672085834680029
7,h0_total_persistence,16,0.7053122806836409,1.2021928669143314,0.8,1.3704912722571858
7,lid,16,0.6799856179720456,1.3817798590104606,0.8,1.7922160707767356
8,h1_max_persistence,16,0.5373412428170623,1.5422955721966312,0.8,1.9799307372338255
8,h1_total_persistence,16,0.3973614671578934,2.6001801343482427,0.8,4.614836290315339
8,h1_max_persistence_normalised,16,0.7507386378190154,1.3164037341619659,0.8,1.6644604206002644
8,h1_total_persistence_normalised,16,0.4513591555815271,2.153484307846312,0.8,3.672085834680029
8,h0_total_persistence,16,0.7053122806836409,1.2021928669143314,0.8,1.3704912722571858
8,lid,16,0.6799856179720456,1.3817798590104606,0.8,1.7922160707767356
9,h1_max_persistence,16,0.5373412428170623,1.5422955721966312,0.8,1.9799307372338255
9,h1_total_persistence,16,0.3973614671578934,2.6001801343482427,0.8,4.614836290315339
9,h1_max_persistence_normalised,16,0.7507386378190154,1.3164037341619659,0.8,1.6908823534812658
9,h1_total_persistence_normalised,16,0.4513591555815271,2.153484307846312,0.8,3.672085834680029
9,h0_total_persistence,16,0.7053122806836409,1.2021928669143314,0.8,1.3704912722571858
9,lid,16,0.6799856179720456,1.3817798590104606,0.8,1.7922160707767356
10,h1_max_persistence,16,0.5373412428170623,1.5422955721966312,0.8,1.919810281871499
10,h1_total_persistence,16,0.3973614671578934,2.6001801343482427,0.8,4.546546229682953
10,h1_max_persistence_normalised,16,0.7507386378190154,1.3164037341619659,0.8,1.5840443059359033
10,h1_total_persistence_normalised,16,0.4513591555815271,2.153484307846312,0.8,3.087421355469054
10,h0_total_persistence,16,0.7053122806836409,1.2021928669143314,0.8,1.354624226519751
10,lid,16,0.6799856179720456,1.3817798590104606,0.8,1.703352355154551
11,h1_max_persistence,16,0.5373412428170623,1.5422955721966312,0.8,1.8697588003920798
