run,model,operation,modulus,train_fraction,label_permutation,loss,optimizer,lr,weight_decay,steps,seed,n_snapshots,replicate,t_c,t_g,t_top__raw,lead_lag_steps__raw,t_top,lead_lag_steps,t_changepoint,lead_lag_steps__changepoint,diverged,grokked,plateau_relaxed,h1_max_persistence__baseline,h1_max_persistence__plateau,h1_max_persistence__ratio,h1_total_persistence__baseline,h1_total_persistence__plateau,h1_total_persistence__ratio,h1_max_persistence_normalised__baseline,h1_max_persistence_normalised__plateau,h1_max_persistence_normalised__ratio,h1_total_persistence_normalised__baseline,h1_total_persistence_normalised__plateau,h1_total_persistence_normalised__ratio,h0_total_persistence__baseline,h0_total_persistence__plateau,h0_total_persistence__ratio,lid__baseline,lid__plateau,lid__ratio,scale_initial,scale_final,scale_collapse,circularity_column,circularity,test_acc__final,test_acc_novel__final,weight_norm__final,train_acc__final,generalisation_gap,fits_train_set
mlp_add97_f0.3_wd0.0_softmax_ce_s0,mlp,add,97,0.3,False,softmax_ce,orthograd_adamw,0.001,0.0,40000,0,126,False,400.0,500.0,1485.0,-985.0,2124.0,-1624.0,266.0,234.0,False,True,False,0.9981136322021484,2.4743785858154297,2.479054995327719,39.79979467391968,93.66684055328368,2.353450346181369,0.06603098025703516,0.258182767745948,3.9100247602100433,2.635516291891594,9.788784180321638,3.714180864841445,1355.370966911316,897.4827585220337,0.6621676134669316,45.9971734341738,83.8882936469379,1.8237706229272932,15.283698081970217,9.559785842895508,1.5987490026597737,fourier_concentration_k5,0.8855410163532499,1.0,1.0,104.42590565193588,1.0,0.0,True
mlp_add97_f0.3_wd0.0_softmax_ce_s1,mlp,add,97,0.3,False,softmax_ce,orthograd_adamw,0.001,0.0,40000,1,126,False,500.0,600.0,2282.0,-1682.0,2633.0,-2033.0,545.0,55.0,False,True,False,0.8202486038208008,5.222071170806885,6.366449325828719,43.11520433425903,160.91910123825073,3.7323051977370674,0.0535913935954002,0.7382682317878303,13.775872994860812,2.815849923660381,22.761081081735718,8.083201057870344,1378.5463123321533,670.0818200111389,0.48607856987954884,55.79859532184111,130.03402627513756,2.3304175584548927,15.303062438964844,7.087343215942383,2.159210013216503,fourier_concentration_k5,0.9999030305314844,1.0,1.0,98.73573575013316,1.0,0.0,True
mlp_add97_f0.3_wd0.0_softmax_ce_s2,mlp,add,97,0.3,False,softmax_ce,orthograd_adamw,0.001,0.0,40000,2,126,False,400.0,500.0,1977.0,-1477.0,2124.0,-1624.0,231.0,269.0,False,True,False,0.8619327545166016,2.7734498977661133,3.2177102949539833,40.99493360519409,144.885272026062,3.534223848766154,0.05734473306754605,0.3033094056820583,5.289228660717486,2.728944981331301,15.814105809456708,5.794952231591669,1349.8285932540894,873.4052381515503,0.6470489975664206,37.27948320751255,48.27973978802351,1.295075350676916,15.033526420593262,9.161574363708496,1.640932641462277,fourier_concentration_k5,0.9991419023376318,1.0,1.0,100.58249124571364,1.0,0.0,True
mlp_add97_f0.3_wd0.0_stablemax_ce_s0,mlp,add,97,0.3,False,stablemax_ce,orthograd_adamw,0.001,0.0,40000,0,126,False,700.0,600.0,1115.0,-515.0,1382.0,-782.0,355.0,245.0,False,True,False,0.9843387603759766,4.711750984191895,4.7867169046479505,46.5965518951416,73.4017858505249,1.575262178534248,0.06550626573126975,0.48216150722683,7.36054027571698,3.1113275369768583,7.559678135405106,2.4297275184182365,1348.7319512367249,894.5363349914551,0.6632424880060168,50.72222870928695,60.983776472883285,1.2023086923567596,15.283698081970217,9.816396713256836,1.556956032688645,fourier_concentration_k5,0.9980418537800546,1.0,1.0,107.36397212359056,1.0,0.0,True
mlp_add97_f0.3_wd0.0_stablemax_ce_s1,mlp,add,97,0.3,False,stablemax_ce,orthograd_adamw,0.001,0.0,40000,1,126,False,800.0,700.0,1382.0,-682.0,1595.0,-895.0,26031.0,-25331.0,False,True,False,0.8903388977050781,5.042697191238403,5.663795218019083,48.75674819946289,151.74799394607544,3.11234853738148,0.0594705220911368,0.6413522930484606,10.784373005261454,3.178100322981036,19.277316207519526,6.065672649829234,1361.750491142273,727.9401423931122,0.5345620560654224,49.34969682877059,36.459751463382744,0.7388039604354149,15.303062438964844,7.880248069763184,1.9419518654093246,fourier_concentration_k5,0.9954460859264616,0.9996963143348694,0.9997819662094116,102.8504573501974,1.0,0.00030368566513061523,True
mlp_add97_f0.3_wd0.0_stablemax_ce_s2,mlp,add,97,0.3,False,stablemax_ce,orthograd_adamw,0.001,0.0,40000,2,126,False,,,,,51.0,,73.0,,True,False,False,0.0,0.0,,0.0,0.0,,,,,,,,0.0,0.0,,,,,15.033525466918944,0.0,,fourier_concentration_k5,,0.0086547220125794,0.0077720205299556,,0.01416932325810194,0.005514601245522499,False
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,60000,0,127,False,100.0,14300.0,18264.0,-3964.0,18264.0,-3964.0,13566.0,734.0,False,True,False,0.19730627536773682,0.325934886932373,1.6519235707272861,11.201995491981506,46.999000787734985,4.195591831953272,0.04842026160982775,0.1560718843761777,3.223276355543278,2.719189663463283,22.479753416523188,8.267078136760771,375.6851404905319,198.39025139808652,0.5280758539958447,60.88372117454054,159.4932995411149,2.619637835274258,15.283698081970217,2.082019090652466,7.340805927567452,fourier_concentration_k5,0.9038182268415554,1.0,1.0,41.16997360443431,1.0,0.0,True
mlp_add97_f0.3_wd1.0_softmax_ce_s1,mlp,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,60000,1,127,False,100.0,13200.0,33103.0,-19903.0,33103.0,-19903.0,33103.0,-19903.0,False,True,False,0.2045460939407348,0.43800115585327143,2.141332290511389,10.046943306922913,22.811002135276794,2.2704420079248107,0.05089764673215625,0.22044954246844994,4.331232515101209,2.4254281091812038,12.010236094148317,4.951800487792166,372.68042051792145,187.61035829782486,0.5034081426577199,61.181775292529295,160.54828304778374,2.6241193930733777,15.303062438964844,1.7503489255905151,8.742863902865567,fourier_concentration_k5,0.9902461924605876,1.0,1.0,39.60840670450885,1.0,0.0,True
mlp_add97_f0.3_wd1.0_softmax_ce_s2,mlp,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,60000,2,127,False,100.0,12100.0,16955.0,-4855.0,16955.0,-4855.0,15741.0,-3641.0,False,True,False,0.2135689258575439,0.42825788259506226,2.0052443532010904,12.61050283908844,4.886992573738098,0.3875335215491977,0.0523148916515538,0.228639893517216,4.370455262338772,3.130006782480704,2.6108378896767475,0.8341317035765378,373.57079243659973,178.11910766363144,0.47680148252987625,60.43757116885968,184.42903283644873,3.0515626169218955,15.033525466918944,1.8620493412017824,8.073645060992948,fourier_concentration_k5,0.9903106859431106,1.0,1.0,39.33367650907416,1.0,0.0,True
mlp_add97_f0.3_wd1.0_softmax_ce_s3,mlp,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,60000,3,127,False,100.0,9500.0,15741.0,-6241.0,10077.0,-577.0,9355.0,145.0,False,True,False,0.19331622123718256,0.2478523254394531,1.2821082672382644,10.610222578048706,15.587103605270386,1.4690647147702873,0.0477076276283889,0.1129388953737335,2.3673131737644417,2.61935487853162,7.103150701258622,2.71179394570642,377.0663493871689,207.6040256023407,0.5505769102433865,72.95100525633234,126.7088670603673,1.7369036467029169,15.013136863708496,2.1939971446990967,6.842824248874547,fourier_concentration_k5,0.9083018375697468,1.0,1.0,41.09247192971132,1.0,0.0,True
mlp_add97_f0.3_wd1.0_softmax_ce_s4,mlp,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,60000,4,127,False,100.0,12100.0,19673.0,-7573.0,15741.0,-3641.0,13566.0,-1466.0,False,True,False,0.1931707859039306,0.30553674697875977,1.5816923120596091,12.200870752334595,11.544527530670166,0.9462052147762617,0.0461546612338712,0.15215849864217723,3.2967092504735738,2.9664235953377487,5.748154375355098,1.9377388935246211,379.48756086826324,190.5946021080017,0.5022420278333325,65.70579560781418,198.04104508828064,3.0140574854363114,15.075989723205566,2.0096025466918945,7.501975825032115,fourier_concentration_k5,0.9876122590101613,1.0,1.0,39.861322515998914,1.0,0.0,True
mlp_add97_f0.4_wd0.0_softmax_ce_s0,mlp,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,20000,0,124,False,100.0,900.0,472.0,428.0,441.0,459.0,258.0,642.0,False,True,False,0.8573665618896484,0.846099853515625,0.9868589365682848,50.73405456542969,54.92073345184326,1.0825220637750168,0.0560132111861438,0.05487024239070595,0.9795946568455159,3.3145418062951264,3.5616594963488017,1.0745556111509404,1419.0701179504397,1411.4008545875547,0.9945955712364928,49.174089075590295,49.602736639793775,1.0087169395968791,15.283698081970217,15.403687477111816,0.9922103460408496,fourier_concentration_k5,0.2986591892352295,1.0,1.0,119.57902800296375,1.0,0.0,True
mlp_add97_f0.4_wd0.0_softmax_ce_s1,mlp,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,20000,1,124,False,100.0,900.0,151.0,749.0,151.0,749.0,83.0,817.0,False,True,False,0.9492349624633788,0.915738582611084,0.964712235456048,59.18785285949707,74.0550217628479,1.251186150283965,0.0617074962569861,0.059585344237622254,0.9656094940146985,3.8476608565999486,4.819069943925655,1.2524674402265559,1429.9428968429563,1412.214017868042,0.9876016874421655,64.70961431202373,63.97932476571444,0.9887143579192436,15.303062438964844,15.38988208770752,0.994358654065841,fourier_concentration_k5,0.3048162909033425,0.9998228549957277,0.9997073411941528,119.63696947636704,1.0,0.00017714500427246094,True
mlp_add97_f0.4_wd0.0_softmax_ce_s2,mlp,add,97,0.4,False,softmax_ce,orthograd_adamw,0.01,0.0,20000,2,124,False,100.0,1100.0,55.0,1045.0,55.0,1045.0,35.0,1065.0,False,True,False,0.9032182693481444,0.9384422302246094,1.038998282111683,61.01750659942627,57.38253211975098,0.9404273513905029,0.0593884555413519,0.0623719794502852,1.050237438938884,4.012026329515496,3.811709732310296,0.9500709664511621,1407.043088912964,1396.2596406936646,0.9923360924023794,61.32277717581218,61.42571592932963,1.0016786381546667,15.033525466918944,15.033480644226074,1.0000029815246336,fourier_concentration_k5,0.3024637237018836,1.0,1.0,119.19376878908749,1.0,0.0,True
mlp_add97_f0.4_wd0.0_stablemax_ce_s0,mlp,add,97,0.4,False,stablemax_ce,adamw,0.01,0.0,80000,0,128,False,100.0,,8757.0,,33.0,,23.0,,False,False,False,2.877399444580078,3.010303497314453,1.0461889477961481,187.51579666137692,195.60806274414065,1.0431551166719946,0.051485882853547,0.0520169759012811,1.0103153139909207,3.3552575949378323,3.380037891506789,1.007385512398912,5169.3096923828125,5360.983379364014,1.0370791649925017,48.45501123257873,49.02774788223228,1.0118199673281363,15.283698081970217,58.052059173583984,0.2632757269861826,fourier_concentration_k5,0.148183275875798,0.0001771479146555,0.0,610.5362213797785,1.0,0.9998228520853445,True
mlp_add97_f0.4_wd0.0_stablemax_ce_s1,mlp,add,97,0.4,False,stablemax_ce,adamw,0.01,0.0,80000,1,128,False,100.0,,8757.0,,12.0,,6.0,,False,False,False,3.021919250488281,3.1679344177246094,1.0483186859518947,179.25282669067383,188.6540260314941,1.0524465890685417,0.0536949130657151,0.0542074435781227,1.0095452340481552,3.172254436796868,3.228113692843786,1.017608693489076,5205.698791503906,5398.087188720703,1.0369572664347753,70.49225093292208,69.85267404285517,0.9909269901073878,15.303062438964844,58.635284423828125,0.2609872637156682,fourier_concentration_k5,0.1397283439964877,0.0,0.0,611.363083598871,1.0,1.0,True
mlp_add97_f0.4_wd0.0_stablemax_ce_s2,mlp,add,97,0.4,False,stablemax_ce,adamw,0.01,0.0,80000,2,128,False,100.0,,11881.0,,14937.0,,11881.0,,False,False,False,2.803531646728516,2.9960861206054688,1.068682825143653,197.9881134033203,205.4599266052246,1.0377386958917252,0.0495666806608556,0.0509065331690734,1.0270313139866136,3.4873234370291635,3.490971937258793,1.001046217907662,5172.552665710449,5363.215072631836,1.0368604090172564,54.01656570715005,53.8876767029874,0.9976138985795316,15.033525466918944,59.04057693481445,0.2546303956940862,fourier_concentration_k5,0.1473503626091317,0.000708591658622,0.0002937720273621,610.2252862600898,1.0,0.999291408341378,True
transformer_add113_f0.3_wd0.1_dense_s0,transformer,add,113,0.3,False,softmax_ce,adamw,0.003,0.1,60000,0,200,True,500.0,13000.0,14970.0,-1970.0,14970.0,-1970.0,11838.0,1162.0,False,True,False,0.04119342565536495,0.07300345599651334,1.7722113379761004,0.28701236844062805,4.981054037809372,17.35484106441832,0.039316970306816454,0.1288386193527144,3.2769213483974227,0.25387385819190367,8.574107509483252,33.773101218645635,103.32274198532104,52.45975112915039,0.5077270513843244,41.509868506582315,20.349645707815025,0.49023633270695943,15.283698081970217,0.616351842880249,24.797034775703082,fourier_concentration_k5,0.7592647302298183,0.9982098937034608,0.9974481463432312,37.93806073596568,0.9999999403953552,0.0017900466918945312,True
transformer_add113_f0.3_wd0.1_dense_s1,transformer,add,113,0.3,False,softmax_ce,adamw,0.003,0.1,60000,1,200,True,500.0,12000.0,13333.0,-1333.0,13333.0,-1333.0,9515.0,2485.0,False,True,False,0.051576077938079806,0.0972222089767456,1.8850252454920424,0.7507573366165161,8.736537501215935,11.636965867812123,0.039276591706089645,0.18258884763114314,4.6487956235477945,0.5993746891471002,16.104820049923724,26.86936959723909,117.3394076526165,51.02681848406792,0.43486514466762005,41.4989540261303,23.469740816037763,0.5655501775119385,15.303062438964844,0.5568974614143372,27.479138439776825,fourier_concentration_k5,0.8706815167237938,1.0,1.0,35.38479194419651,0.9999999403953552,-5.960464477539063e-08,True
transformer_add113_f0.3_wd0.1_dense_s2,transformer,add,113,0.3,False,softmax_ce,adamw,0.003,0.1,60000,2,200,True,500.0,13500.0,14364.0,-864.0,14364.0,-864.0,14364.0,-864.0,False,True,False,0.050682783126831,0.0894762277603149,1.7654166215853881,1.2301735877990725,7.621465861797333,6.195439357004116,0.0526215578142542,0.1481929343773401,2.816201962329542,1.129867638643009,12.624323036042744,11.173276058428206,94.74007815122604,58.95973774790764,0.622331529575001,49.08702623890447,35.30663489198256,0.7192661197308362,15.033525466918944,0.5873207449913025,25.596789480238044,fourier_concentration_k5,0.8215682753490596,1.0,1.0,37.34779093309154,0.9999999403953552,-5.960464477539063e-08,True
transformer_add113_f0.3_wd0.1_dense_s3,transformer,add,113,0.3,False,softmax_ce,adamw,0.003,0.1,60000,3,200,True,500.0,11500.0,51515.0,-40015.0,13354.0,-1854.0,9212.0,2288.0,False,True,False,0.0574560165405273,0.0516405999660491,0.898784898003219,0.7741723656654358,2.2734333276748657,2.9365983965608846,0.0481969298623281,0.0844314723108372,1.7518018793315486,0.5595060312876233,3.695327161672414,6.604624356181015,115.08462512493134,56.33931943774223,0.4895468823622833,44.67443641566907,40.95092790967555,0.9166523675565039,15.013136863708496,0.5216172933578491,28.781900168729486,fourier_concentration_k5,0.6592832696431701,1.0,1.0,30.30800467354269,0.9999999403953552,-5.960464477539063e-08,True
transformer_add113_f0.3_wd0.1_dense_s4,transformer,add,113,0.3,False,softmax_ce,adamw,0.003,0.1,60000,4,200,True,500.0,10000.0,10909.0,-909.0,14061.0,-4061.0,10828.0,-828.0,False,True,False,0.07375603914260859,0.0600597262382507,0.8143024888053461,1.5001285076141357,3.357845291495323,2.238371762453721,0.053149069241716945,0.10935084946209425,2.0574367721243982,1.0076048059592133,5.913089825796342,5.868461316207434,138.6724552512169,52.47346830368042,0.3783986387824481,51.19095183110298,33.66663114048179,0.6576676138306607,15.075989723205566,0.5150905251502991,29.268621702576493,fourier_concentration_k5,0.8256228917406694,1.0,1.0,34.43636843348914,0.9999999403953552,-5.960464477539063e-08,True
transformer_add113_f0.3_wd0.1_recipe-rC-2layer-lr3e-3_s0,transformer,add,113,0.3,False,softmax_ce,adamw,0.003,0.1,200000,0,120,True,500.0,12000.0,13445.0,-1445.0,13445.0,-1445.0,13445.0,-1445.0,False,True,False,0.0668579339981079,0.1229388415813446,1.838807067906463,1.1565775871276855,6.064984738826752,5.243906510317998,0.0429849205705682,0.2940500596617503,6.8407724327188015,0.8859042434681738,15.030157285501517,16.965893770483422,125.99922007322311,40.11449959874153,0.3183710151176286,41.8057097908062,26.196910163853502,0.6266347418795568,15.283698081970217,0.41221684217453,37.0768404351106,fourier_concentration_k5,0.8513309970680347,1.0,1.0,38.66372577282486,0.9999999403953552,-5.960464477539063e-08,True
