run,model,operation,modulus,train_fraction,label_permutation,loss,optimizer,lr,weight_decay,scale_collapse,in_window_drift
transformer_add97_f0.3_wd0.0_stablemax_ce_s3,transformer,add,97,0.3,False,stablemax_ce,orthograd_adamw,0.001,0.0,0.9602612851973421,1.0119458063384106
transformer_add97_f0.3_wd0.0_stablemax_ce_s4,transformer,add,97,0.3,False,stablemax_ce,orthograd_adamw,0.001,0.0,0.9739887801333982,1.0059766532781282
transformer_add97_f0.3_wd0.1_softmax_ce_s0,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.1,109.46982521698727,0.5411924070009331
transformer_add97_f0.3_wd0.1_softmax_ce_s1,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.1,62.72528284125788,1.1412360626624092
transformer_add97_f0.3_wd0.1_softmax_ce_s2,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.1,84.69170452072863,0.8267806348458103
transformer_add97_f0.3_wd0.1_softmax_ce_s3,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.1,59.782547759483364,1.0744485239390407
transformer_add97_f0.3_wd0.1_softmax_ce_s4,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.1,55.27264780846659,1.0877298257661558
transformer_add97_f0.3_wd0.3_softmax_ce_s0,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.3,89.66552147709092,1.13243946696394
transformer_add97_f0.3_wd0.3_softmax_ce_s1,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.3,143.9544323056283,0.747670531327437
transformer_add97_f0.3_wd0.3_softmax_ce_s2,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.3,141.5715986454697,0.7694366727481949
transformer_add97_f0.3_wd0.3_softmax_ce_s3,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.3,109.50989297532723,0.8490904349021148
transformer_add97_f0.3_wd0.3_softmax_ce_s4,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,0.3,127.16420673366682,0.7832443493679471
transformer_add97_f0.3_wd1.0_softmax_ce_s0,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,154.95773723111867,1.0007076348710693
transformer_add97_f0.3_wd1.0_softmax_ce_s1,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,155.76754430569832,0.9579603338893768
transformer_add97_f0.3_wd1.0_softmax_ce_s2,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,151.5920237406559,0.9319484400908823
transformer_add97_f0.3_wd1.0_softmax_ce_s3,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,148.12189807640584,1.0317780439937294
transformer_add97_f0.3_wd1.0_softmax_ce_s4,transformer,add,97,0.3,False,softmax_ce,adamw,0.001,1.0,176.23150260175666,0.7816082659907923
