run,a0,operator,b,x,y
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,58,10.235703,9.091468
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,59,-4.060131,11.447308
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,60,-11.401179,0.43004686
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,61,1.0622954,-10.871072
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,62,9.129274,-10.400255
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,63,0.6678416,-0.6343972
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,64,-8.825117,8.181465
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,65,-3.0212383,8.284055
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,66,10.018795,2.4623318
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,67,6.645302,-4.959743
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,68,-8.629573,-7.196202
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,69,-10.532028,-6.223012
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,70,5.860515,0.43784854
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,71,12.485113,8.778076
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,72,-0.63991123,10.542433
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,73,-10.238357,0.41580015
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,74,-2.821589,-10.558516
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,75,8.24499,-11.016714
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,76,3.9113202,-0.17980029
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,77,-7.7884655,9.349077
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,78,-5.850403,8.874303
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,79,7.7952185,1.5847638
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,80,10.124374,-5.9436855
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,81,-7.274912,-6.789441
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,82,-12.6871805,-4.915715
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,83,2.0111873,1.4899092
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,84,11.438292,8.327712
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,85,2.36605,9.887329
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,86,-8.682422,0.25908715
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,87,-6.349876,-10.159672
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,88,6.8169203,-11.297163
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,89,7.7838545,-0.049182277
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,90,-6.105666,10.519769
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,91,-9.904335,9.454457
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,92,6.316008,0.8498018
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,93,11.15936,-6.901505
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,94,-2.7956269,-7.5984354
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,95,-11.234109,-4.039129
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,add,96,-1.7140442,3.2210312
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,sub,0,10.35933,7.5413313
