run,a0,family,shift,residual
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,59,1.513046155569116
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,60,1.6769687342594533
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,61,1.3638380764439895
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,62,1.5117381195105957
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,63,1.5604620096439026
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,64,1.4018458748252176
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,65,1.3068433681185434
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,66,1.0188687553986102
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,67,1.4652655083957145
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,68,1.8881605611543442
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,69,1.4909409260797348
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,70,1.0352661417548226
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,71,1.0528360126356437
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,72,1.29480438038043
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,73,1.6972617774665952
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,74,1.4882897881581332
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,75,1.1393098270422162
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,76,1.5316207025248105
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,77,1.4869863731746327
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,78,1.1715181762737086
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,79,1.20709574224114
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,80,1.3461960805491353
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,81,1.8030008536303377
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,82,1.7933460687744522
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,83,0.9823868178670274
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,84,0.9303845015305218
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,85,1.4778221471453494
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,86,1.6797723676567053
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,87,1.7042015448344299
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,88,1.270655639029882
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,89,1.2164429084756152
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,90,1.6357092394226893
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,91,1.3526429332482008
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,92,1.0734808012001684
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,93,1.4012419637466615
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,94,1.6114364539211221
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,95,1.753054281412404
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,reflected,96,1.2885492569900252
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,0,1.2828776575825014
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,1,1.3324665948376353
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,2,1.4420076378215152
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,3,1.4808407964449892
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,4,1.4696378608481868
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,5,1.407258875250266
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,6,1.4010389988830507
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,7,1.4478870043862977
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,8,1.4257530517443433
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,9,1.434326233217674
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,10,1.4902116117104476
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,11,1.4997201531333564
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,12,1.4616115065855215
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,13,1.3607195756801984
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,14,1.3219093412131948
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,15,1.4392981475016253
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,16,1.4913276466323646
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,17,1.437373968107144
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,18,1.3730354654822379
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,19,1.3174741965060428
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,20,1.3532124127873946
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,21,1.3997620418192709
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,22,1.3714920264256547
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,23,1.4028872476723064
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,24,1.4499572459951278
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,25,1.4061271649170075
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,26,1.3540683989778102
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,27,1.3350514973506211
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,28,1.4101964292137756
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,29,1.5224463282523466
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,30,1.5024220322708608
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,31,1.4198686110579704
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,32,1.3916677305710217
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,33,1.4052542347848531
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,34,1.4655711336122141
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,35,1.4788859004930237
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,36,1.443315402052093
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,37,1.4696926794832246
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,38,1.4429564985588956
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,39,1.355995206042401
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,40,1.3513932495879688
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,41,1.3892734700549274
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,42,1.4480194752035294
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,43,1.470060372079891
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,44,1.36325745195916
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,45,1.2958441222598647
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,46,1.3446165789855355
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,47,1.3867608737746027
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,48,1.4275793730795838
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,49,1.4303380642570365
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,50,1.4111686671541968
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,51,1.4191954744634327
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,52,1.3796676142286624
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,53,1.364867035815045
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,54,1.447141017903214
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,55,1.4986614739072723
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,56,1.5087693053337174
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,57,1.456691873875813
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,58,1.365801942718052
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,59,1.4001464065297338
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,rotated,60,1.4649730215297612
