run,step,winding_antisymmetry,overlap_median,residual_reflected_median,residual_rotated_median
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,0,0.36441135102007755,0.6945721805095673,1.372816895370439,0.6868556196122264
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,2424,0.15601781529302106,0.644853949546814,1.2471647426800665,0.6542366866127831
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,4848,0.7360065470495233,0.6823016107082367,1.1718874834825588,0.6439073004985365
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,7273,0.6528015542754513,0.8620137274265289,1.0624208300207179,0.6228773311558109
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,9697,0.43083557587356835,0.8941331505775452,0.9400692908519807,0.6042026936988654
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,12121,-0.9869672107988413,0.7995849251747131,0.6837397095753643,0.8097731804491333
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,14545,-0.9826207998659107,0.9527374505996704,0.4240605707439926,1.145074869288901
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,16970,-0.9867701315260636,0.9826022088527679,0.2884004051787904,1.2774677090919868
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,19394,-0.9929581152179703,0.9867491722106934,0.22345930859588653,1.2828289547132812
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,21818,-0.9930411576510795,0.9862117171287537,0.20116423464188404,1.2934903682326273
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,24242,-0.993964831619247,0.9849233627319336,0.19705661483109888,1.2949646998170452
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26667,-0.9939756436783271,0.9821815192699432,0.19364021395515338,1.29911972300423
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,29091,-0.9843865955420378,0.982654482126236,0.1916510224163276,1.3017491940009749
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,31515,-0.9698544165636556,0.9829854071140289,0.18980702679456468,1.3036201830018501
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,33939,-0.9682466993553361,0.9859303832054138,0.18829856491839397,1.3048624522670622
