run,a0,winding_add,winding_sub,product,overlap,residual_reflected,residual_rotated,reflection_shift,monotonicity,planarity
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26,1.999999903873089,-3.000000007591615,-5.999999726802495,0.998115062713623,0.1821098954160103,1.2828776575825014,0,0.5670103092783505,0.39743688807354516
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,52,1.0000002555005074,3.4150945850063754e-07,3.415095457564775e-07,0.9943267107009888,0.1927057419904397,1.292736538096685,0,0.5154639175257731,0.38960559544308787
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,42,1.1383648616687918e-07,-2.2767297233375836e-07,-2.591749116564415e-14,0.9982579946517944,0.18843208423813035,1.2758375304599516,0,0.4896907216494846,0.4030477579976275
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,3,2.0000000556550703,-1.9999996003091258,-3.99999931192837,0.994722843170166,0.1816698310500441,1.27874285709017,0,0.5567010309278351,0.39022085384586774
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,70,21.999999246167942,-21.999999246167942,-483.99996683139,0.9888283014297485,0.18120201297740282,1.3306278390873587,0,1.0,0.3996197021395512
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,57,19.00000045283218,-19.00000045283218,-361.000017207623,0.9872751235961914,0.1824058762235269,1.3222773803721064,0,0.9690721649484536,0.3961562054169524
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,74,-3.000000007591615,4.000000718438067,-12.000002185680668,0.9926167726516724,0.1916886755542298,1.295435947033451,0,0.5876288659793814,0.3940314208014575
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,84,-1.5178198155583891e-07,7.589099077791946e-08,-1.1518884962508513e-14,0.9978793263435364,0.18932773706643302,1.2438285613985451,0,0.5206185567010309,0.4087635924190051
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,69,-4.999999911464704,4.99999960790074,-24.999997596827253,0.9960225820541382,0.18080327962621043,1.2917290118149938,0,0.6597938144329897,0.4088582178427027
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,6,3.0000003111555777,-3.000000007591615,-9.00000095624158,0.9937574863433838,0.17681802089325074,1.320557769716629,0,0.5979381443298969,0.3973950157143088
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,93,-0.9999999519365445,1.999999903873089,-1.9999998077461825,0.9899187088012695,0.17836924599262274,1.3304494363967525,0,0.5206185567010309,0.398878091743016
