run,step,operator,n,test_acc
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,17576,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,18182,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,18182,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,18788,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,18788,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,19394,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,19394,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,20000,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,20000,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,20606,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,20606,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,21212,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,21212,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,21818,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,21818,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,22424,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,22424,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,23030,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,23030,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,23636,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,23636,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,24242,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,24242,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,24848,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,24848,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,25455,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,25455,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26061,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26061,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26667,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,26667,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,27273,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,27273,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,27879,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,27879,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,28485,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,28485,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,29091,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,29091,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,29697,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,29697,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,30303,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,30303,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,30909,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,30909,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,31515,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,31515,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,32121,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,32121,sub,6610,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,32727,add,6563,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s0,32727,sub,6610,1.0
