run,step,winding_antisymmetry,overlap_median,residual_reflected_median,residual_rotated_median
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,0,0.8326195591926768,0.9524133801460266,1.3580784047736065,0.18011287950216728
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,840,0.09682717005697804,0.5853627920150757,1.2936029124468456,0.8575030620690898
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,1681,0.5586446281265767,0.6262349486351013,1.2771192368587236,0.8782451805031557
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,2521,-0.10625124629778165,0.5321972817182541,1.267490187305592,0.9442915726660371
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,3361,0.17231836874017,0.5516132712364197,1.2561389331590553,0.9394539101999241
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,4202,0.4800395269614022,0.5485771000385284,1.2501407892314793,0.9497629277792093
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,5042,0.10757621324779586,0.49369192123413086,1.2398769748809793,0.9605901892515158
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,5882,0.3488828201401285,0.6157236397266388,1.2227949340875441,0.9366406257296898
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,6723,0.5075744985191162,0.6076717674732208,1.2129443100242803,0.9516296092646196
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,7563,0.4447631239572777,0.5366058647632599,1.191814890609558,0.9523774766504003
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,8403,0.6504154482962802,0.642709344625473,1.163059509520977,0.9635805418301557
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,9244,-0.10105452651180416,0.61851766705513,1.143381322616686,0.9155546638601858
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,10084,-0.02687101963736242,0.5133086442947388,1.1192962434711877,0.9537977820697385
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,10924,-0.8396106672259381,0.505768358707428,1.076099120286282,0.952394965877763
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,11765,-0.8954503705559153,0.6859481930732727,0.9706826862413882,0.9795521992121512
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,12605,-0.9413236532161808,0.7128191292285919,0.7628732687793314,1.0601913387982407
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,13445,-0.968739516736266,0.5839590728282928,0.5469083524162216,1.127923032492316
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,14286,-0.9446647271642284,0.7235317826271057,0.4537297258930692,1.179164011197347
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,15126,-0.983382592365775,0.7372989356517792,0.36255694891150947,1.224448020306933
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,15966,-0.9784555057396298,0.7684506475925446,0.2836270221891825,1.2410364956980744
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,16807,-0.9627175481357414,0.6834685802459717,0.288586337202508,1.2390465910751227
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,17647,-0.9779092083981142,0.7928043007850647,0.2888737635530715,1.1984790642684158
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,18487,-0.9065321845421446,0.8455979824066162,0.2816781792782,1.207218176276629
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,19328,-0.9527308420049665,0.9405690431594849,0.2408963399996305,1.2201893192091449
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,20168,-0.9964493157832326,0.9532279968261719,0.25183831252619976,1.2481896848682807
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,21008,-0.9958262596799989,0.9051141142845154,0.26503530314195534,1.2573784118442124
transformer_addsub113_f0.3_wd0.1_sq-addsub_s0,21849,-0.9945299517168662,0.9722226560115814,0.2522377296493684,1.290203332459662
