step,test_acc,test_acc_novel,h1_total_persistence_normalised,run,t_g,step_over_tg,null_lo,null_hi
0,0.0074652777984738,0.0077102384530007,1.8964325673608189,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.0,0.4513591555815271,2.153484307846312
1,0.0072916666977107,0.007351622916758,1.895864796054116,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,6.289308176100629e-05,0.4513591555815271,2.153484307846312
2,0.0081597222015261,0.0084274699911475,1.8948510566683097,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.00012578616352201257,0.4513591555815271,2.153484307846312
3,0.0079861115664243,0.0078895464539527,1.89386278484384,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.00018867924528301886,0.4513591555815271,2.153484307846312
4,0.0071180555969476,0.006813698913902,1.8930960985972027,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.00025157232704402514,0.4513591555815271,2.153484307846312
5,0.0062500000931322,0.0057378518395125,1.892417580116169,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.00031446540880503143,0.4513591555815271,2.153484307846312
6,0.0069444444961845,0.0066343913786113,1.8918470699922327,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.0003773584905660377,0.4513591555815271,2.153484307846312
7,0.0048611112870275,0.0046620047651231,1.8912734329291463,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.000440251572327044,0.4513591555815271,2.153484307846312
8,0.0048611112870275,0.0048413127660751,1.8907370329687956,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.0005031446540880503,0.4513591555815271,2.153484307846312
9,0.0045138890855014,0.0044826967641711,1.8900071398303124,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.0005660377358490566,0.4513591555815271,2.153484307846312
10,0.0045138890855014,0.0043033887632191,1.8891435810977937,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.0006289308176100629,0.4513591555815271,2.153484307846312
11,0.0043402779847383,0.0041240812279284,1.8883006643184364,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.0006918238993710692,0.4513591555815271,2.153484307846312
12,0.0034722222480922,0.003406849456951,1.8872975129359104,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.0007547169811320754,0.4513591555815271,2.153484307846312
13,0.0027777778450399,0.0028689259197562,1.8861737515558328,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.0008176100628930818,0.4513591555815271,2.153484307846312
14,0.0027777778450399,0.0028689259197562,1.8848074364753824,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.000880503144654088,0.4513591555815271,2.153484307846312
15,0.0022569445427507,0.0021516943816095,1.8835541146043795,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.0009433962264150943,0.4513591555815271,2.153484307846312
16,0.0022569445427507,0.0023310023825615,1.8822433725117187,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.0010062893081761006,0.4513591555815271,2.153484307846312
18,0.0027777778450399,0.0028689259197562,1.879755223984483,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.0011320754716981133,0.4513591555815271,2.153484307846312
19,0.0032986111473292,0.003406849456951,1.8786625076145145,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.0011949685534591195,0.4513591555815271,2.153484307846312
21,0.0013888889225199,0.0014344629598781,1.8770099486575549,transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900,0.0013207547169811322,0.4513591555815271,2.153484307846312
