step,ph_dim,run,t_g,operation,weight_decay,label_permutation,generalisation_gap,fits_train_set
48980,1.1973948796671985,transformer_add113_f0.3_wd0.1_dense_s0,13000.0,add,0.1,False,0.0017900466918945312,True
49980,1.203351126857485,transformer_add113_f0.3_wd0.1_dense_s0,13000.0,add,0.1,False,0.0017900466918945312,True
50980,1.1826155553071187,transformer_add113_f0.3_wd0.1_dense_s0,13000.0,add,0.1,False,0.0017900466918945312,True
51980,1.2002163690209755,transformer_add113_f0.3_wd0.1_dense_s0,13000.0,add,0.1,False,0.0017900466918945312,True
52980,1.191563803956587,transformer_add113_f0.3_wd0.1_dense_s0,13000.0,add,0.1,False,0.0017900466918945312,True
53980,1.1651423908749263,transformer_add113_f0.3_wd0.1_dense_s0,13000.0,add,0.1,False,0.0017900466918945312,True
54980,1.1572638020710158,transformer_add113_f0.3_wd0.1_dense_s0,13000.0,add,0.1,False,0.0017900466918945312,True
55980,1.2153825949369148,transformer_add113_f0.3_wd0.1_dense_s0,13000.0,add,0.1,False,0.0017900466918945312,True
56980,1.2412382324234934,transformer_add113_f0.3_wd0.1_dense_s0,13000.0,add,0.1,False,0.0017900466918945312,True
57980,1.1984067072532911,transformer_add113_f0.3_wd0.1_dense_s0,13000.0,add,0.1,False,0.0017900466918945312,True
58980,1.2364496289925917,transformer_add113_f0.3_wd0.1_dense_s0,13000.0,add,0.1,False,0.0017900466918945312,True
59980,1.24314957148802,transformer_add113_f0.3_wd0.1_dense_s0,13000.0,add,0.1,False,0.0017900466918945312,True
3980,1.3407274476050206,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
4980,1.1655870814617275,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
5980,1.2664747817274642,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
6980,1.3153337293391123,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
7980,1.2999183822706095,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
8980,1.4621128496438678,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
9980,1.2426391276584188,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
10980,1.4514189005440514,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
11980,1.265156861731077,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
12980,1.270464493942582,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
13980,1.1881191087176417,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
14980,1.1890048106153377,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
15980,1.202984878904464,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
16980,1.2212729832782698,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
17980,1.1785572377355782,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
18980,1.1301793807952834,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
19980,1.2265610070476176,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
20980,1.1748757490668085,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
21980,1.2653312312921563,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
22980,1.1218979792635717,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
23980,1.1672448852666215,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
24980,1.1614366550486377,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
25980,1.1679113855319316,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
26980,1.144350846709996,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
27980,1.148456998822441,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
28980,1.142863669592589,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
29980,1.1622716862410107,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
30980,1.2550830743790544,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
31980,1.1937877446076837,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
32980,1.3409298276074844,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
33980,1.1684025282240726,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
34980,1.1851629908263528,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
35980,1.1499440265571457,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
36980,1.1533170698623103,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
37980,1.1760783530517935,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
38980,1.179160890544557,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
39980,1.1821542921311508,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
40980,1.1838781787494534,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
41980,1.211410562087483,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
42980,1.146231994407135,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
43980,1.1721346983251342,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
44980,1.226838292180702,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
45980,1.1895254982522756,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
46980,1.1676340584237352,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
47980,1.2088819134980384,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
48980,1.197437337283258,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
49980,1.1701803132838966,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
50980,1.1973985785597243,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
51980,1.1534147062190263,transformer_add113_f0.3_wd0.1_dense_s1,12000.0,add,0.1,False,-5.960464477539063e-08,True
