step,h1_max_persistence_normalised,fourier_concentration,fourier_concentration_group,fourier_concentration_k1,fourier_concentration_k2,fourier_concentration_k3,fourier_concentration_k5,fourier_concentration_k10,fourier_concentration_k20,fourier_concentration_group_k1,fourier_concentration_group_k2,fourier_concentration_group_k3,fourier_concentration_group_k5,fourier_concentration_group_k10,fourier_concentration_group_k20,run,operation,t_g
16,0.0533464612639128,0.1172938945681151,0.121801236808866,0.0236214414620688,0.0472408817273557,0.0708260485915546,0.1172938945681151,0.2311839708354172,0.4490151973466623,0.0258989130308085,0.0500139517332101,0.0739942523952596,0.121801236808866,0.2373324481736364,0.4548559763288228,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
17,0.0532779414650814,0.1172907163497199,0.1218006768758509,0.0236235515483125,0.0472416116824663,0.0708243143787117,0.1172907163497199,0.2311773972713507,0.4490133918407352,0.0259007453392455,0.050012658995764,0.073991099956595,0.1218006768758509,0.237326395166805,0.4548579110612786,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
18,0.0532882794384222,0.1172873184821107,0.1218004669152629,0.0236256898312654,0.047242168126104,0.0708221533397265,0.1172873184821107,0.231170157633161,0.4490105471703588,0.0259023954566786,0.0500110451580237,0.0739878000252712,0.1218004669152629,0.2373200878766596,0.4548605395755691,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
20,0.0532886956921779,0.1172792941175757,0.1218008065634307,0.023629846637459,0.0472424620953234,0.0708163689239754,0.1172792941175757,0.2311539863370139,0.4490023992616851,0.0259049626073474,0.050006627132578,0.0739803521564498,0.1218008065634307,0.2373061343944232,0.4548647513864676,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
21,0.0532777693721396,0.1172743233485658,0.1218011233293374,0.0236318180481649,0.047242011938454,0.0708125494286606,0.1172743233485658,0.2311447794359645,0.4489970162525194,0.0259060066352348,0.050003921372296,0.0739762045201595,0.1218011233293374,0.2372982459054667,0.4548658420099488,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
23,0.0532374452060538,0.1172620419442369,0.1218020937311747,0.0236353870737093,0.0472399552381239,0.0708031666871344,0.1172620419442369,0.2311237507179616,0.4489831791595461,0.0259082417957923,0.0499983305329379,0.0739677374686658,0.1218020937311747,0.2372808025197363,0.4548659719818098,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
24,0.0532160994509445,0.1172546563776801,0.121802767111719,0.0236368623484909,0.0472383693108725,0.0707977747289335,0.1172546563776801,0.2311119535922783,0.4489748671565304,0.0259096365624401,0.0499956774618014,0.0739636338564681,0.121802767111719,0.2372716821863736,0.4548657696583781,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
26,0.0531818700350561,0.1172383165387506,0.1218045689550929,0.0236389927542686,0.0472344147837545,0.0707867162091816,0.1172383165387506,0.2310874282808263,0.4489569657469918,0.0259134394514576,0.0499913852687289,0.0739577082232725,0.1218045689550929,0.2372545968108357,0.4548674802788158,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
28,0.0531824688104254,0.1172222928317491,0.1218066354626623,0.0236397762103854,0.0472299879708269,0.0707769685211074,0.1172222928317491,0.2310644260433068,0.4489391469512874,0.0259187344372068,0.0499898064326302,0.0739692559709856,0.1218066354626623,0.237239926704568,0.4548715547691931,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
31,0.0533799176279,0.1172043394211802,0.1218046128541377,0.0236386205062703,0.0472226311984489,0.0707657324464167,0.1172043394211802,0.2310438960532911,0.4489123114888452,0.0259275188186481,0.0499920106209664,0.073993948685587,0.1218046128541377,0.2372153906456564,0.4548770123425344,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
33,0.0536332985279808,0.1171962691974798,0.1218042301748166,0.0236339782970117,0.047216234812807,0.0707599347888284,0.1171962691974798,0.231042166055345,0.4488906593324803,0.0259355630483099,0.049998299200134,0.074018001051599,0.1218042301748166,0.237198857211079,0.4548870707809093,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
35,0.0536517685645695,0.1171893563137921,0.1218108837212049,0.0236253379367438,0.0472105558928268,0.0707547872309869,0.1171893563137921,0.2310447550173937,0.448861802749317,0.0259471622425986,0.0500106102534523,0.0740498407010784,0.1218108837212049,0.2371872008694995,0.454903647084639,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
38,0.0533728486505551,0.1171791070901533,0.1218380646832255,0.0236057804865867,0.0472047768721236,0.0707488355011915,0.1171791070901533,0.2310478652275593,0.4488118969192346,0.025971701515886,0.0500432406375115,0.0741130560631307,0.1218380646832255,0.2371874204949256,0.4549436300761277,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
41,0.0530133245052883,0.1171667627935575,0.1218856455130112,0.0236176610659222,0.0471987018065687,0.0707443205040553,0.1171667627935575,0.2310435943987775,0.4487691159048673,0.0260055820935394,0.0501144104746033,0.0741943154192577,0.1218856455130112,0.2372136098821343,0.4550099866565446,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
44,0.0526308207927265,0.117155439701972,0.1219545875211041,0.0236357168343898,0.0471901804893223,0.070739797906691,0.117155439701972,0.2310320705497472,0.4487363625287407,0.0260506359541373,0.050202044779091,0.0742946506221504,0.1219545875211041,0.2372711180941914,0.4551132924927958,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
48,0.0522710104696121,0.1171510359916777,0.1220797762994777,0.0236606299197437,0.0472224814170466,0.0707412169444729,0.1171510359916777,0.2310130716419866,0.448699105468043,0.0261287835946118,0.0503406929308247,0.0744563025541063,0.1220797762994777,0.2374038865528467,0.4553024974531608,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
51,0.052077158672395,0.1171527585364867,0.1221911248555662,0.0236790451285153,0.0472546054294384,0.0707488221320841,0.1171527585364867,0.2310005652555073,0.4486666251295479,0.0261973428781599,0.0504584626414836,0.0745905027564465,0.1221911248555662,0.237532353684394,0.455460253305136,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
55,0.0519173466445281,0.117154617513776,0.1223524238087502,0.02370271088709,0.0472977950864857,0.0707633214374945,0.117154617513776,0.2309831957848516,0.4486136853822568,0.0262948578068385,0.0506264681765427,0.0747757553218406,0.1223524238087502,0.237733488293308,0.4556844692641191,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
60,0.0519740862506,0.1171584635267096,0.1225595648427479,0.0237333981663676,0.0473457192872398,0.0707840169949571,0.1171584635267096,0.2309620671253649,0.4485389458351921,0.026421620216515,0.0508465782924874,0.075005874892365,0.1225595648427479,0.238011338837561,0.4559883429822932,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
64,0.0521388609535989,0.117164277022779,0.1227199537428193,0.0237535489114713,0.0473726218577747,0.0708009006974694,0.117164277022779,0.2309666756194107,0.4484933984204544,0.0265269272098374,0.0510278462468758,0.0751876416551337,0.1227199537428193,0.238245466452457,0.4562983982911764,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
69,0.0523746335788526,0.1171697555164428,0.1229238606576909,0.023774650126405,0.0473956600384008,0.0708198649177542,0.1171697555164428,0.2309763205215901,0.4484357020939583,0.0266620169806339,0.0512557861444973,0.0754163326166479,0.1229238606576909,0.2386401710790578,0.4566858391487852,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
75,0.0526116294011018,0.1171518495671709,0.1231783397088699,0.0237903485272942,0.0474080884069293,0.0708320320253286,0.1171518495671709,0.23097804929217,0.4483705599415856,0.0268180203317715,0.051526634286429,0.0756964644425708,0.1231783397088699,0.2391464231924304,0.4571209613654361,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
80,0.0526104920715855,0.1171162851198096,0.1233825360547729,0.0237944523846224,0.0474077251885473,0.0708301621703117,0.1171162851198096,0.2309553603800787,0.4483212400566326,0.0269339940247869,0.0517248510172509,0.0759029192497523,0.1233825360547729,0.2395342289973251,0.457453025362057,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
87,0.0532271418163992,0.1170864360927672,0.1236960308453565,0.0238019942656402,0.0474099640839838,0.0708391407527723,0.1170864360927672,0.2309269028613791,0.4482861053478442,0.0270773432900217,0.0519660353957753,0.0761551761634685,0.1236960308453565,0.2400313631477177,0.4578728108611026,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
93,0.054118405670248,0.1171018327403066,0.1239898113328955,0.0238149379079279,0.0474240404259304,0.0708674347175226,0.1171018327403066,0.2309049254484485,0.4482728741672186,0.0271821607568156,0.0521345615436925,0.0763254477497573,0.1239898113328955,0.2403921909337311,0.4581729137126984,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
100,0.0544047719838049,0.1171385352730036,0.124313315921835,0.0238239932408456,0.0474354461000916,0.0708991840059686,0.1171385352730036,0.2308794179456575,0.4482650907525363,0.0272894135727263,0.0523003815869013,0.0764846892327483,0.124313315921835,0.240724091372312,0.4584769936532336,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
108,0.053952405855958,0.1171842146650242,0.1246000211579811,0.0238320089827321,0.0474492938094902,0.0709245534103991,0.1171842146650242,0.2308660293492793,0.4482672486522618,0.0273797547679965,0.052450769298198,0.0766241844402012,0.1246000211579811,0.2409994031610766,0.4587486698475842,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
116,0.0534272975274533,0.1172171472218586,0.1248177500980151,0.0238338205188424,0.0474599935542029,0.0709353861997411,0.1172171472218586,0.2308617970379411,0.4482709021028448,0.027448474498806,0.0525826626745681,0.0767519153050171,0.1248177500980151,0.2412056996110418,0.4589737305912924,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
125,0.0528496683718125,0.1172523701824067,0.1249874194828041,0.0238334251452078,0.0474705866446898,0.0709403466787776,0.1172523701824067,0.2308629656402629,0.4482513886883364,0.0275055644126972,0.0526947534020358,0.0769255504471342,0.1249874194828041,0.2413688757725899,0.4591817991075676,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
135,0.0528318035603612,0.117278549732945,0.1251197991145852,0.0238371282329899,0.0474815107620694,0.0709386695124512,0.117278549732945,0.2308663696646858,0.4482176393280235,0.0275585023188886,0.0527788032587683,0.0770667267999582,0.1251197991145852,0.2414960817551288,0.4593723662794627,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
146,0.0528856961401347,0.1172959620030589,0.1251998962115952,0.0238382278024089,0.0474806747724389,0.0709306554958161,0.1172959620030589,0.2308585723953567,0.4481784689298725,0.0275891886467176,0.052829218666046,0.0771469196914857,0.1251998962115952,0.2415898996680549,0.4595140965804524,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
157,0.0527877101113082,0.1173062501520179,0.1252586183476977,0.0238327069760512,0.0474724000119764,0.0709163518684369,0.1173062501520179,0.2308874722223364,0.4481686286191402,0.0275990674012245,0.0528606520018455,0.0772000150112469,0.1252586183476977,0.2416592708750746,0.4596106545300245,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
169,0.0527981629302463,0.117311556580787,0.1252928808596524,0.0238298852223677,0.047466511977268,0.0709053457925692,0.117311556580787,0.230917306287605,0.4481538908723803,0.0276024677802398,0.0528771306982836,0.0772290371956874,0.1252928808596524,0.2417023130356111,0.4596689655360964,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
182,0.0528089571266645,0.1173040483061208,0.1253160024837918,0.0238214985422887,0.0474540928865743,0.0708842448689865,0.1173040483061208,0.2309294562424971,0.4481488637387875,0.027607944172582,0.0528949307748463,0.0772516511396999,0.1253160024837918,0.2417386739355337,0.459719054998679,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
196,0.0528360626327388,0.1172990627921122,0.1253218228377272,0.023816465996179,0.0474446103963399,0.0708678225117158,0.1172990627921122,0.2309515088197798,0.4481526186727058,0.0276095823946853,0.0529030201921147,0.0772629280739295,0.1253218228377272,0.2417595063571228,0.4597553887875282,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
211,0.0528175850980269,0.1172873304660118,0.125331642877179,0.0238073672186282,0.0474300056945434,0.0708456820142341,0.1172873304660118,0.2309595584681402,0.4481249445778394,0.0276076397009899,0.052907508095764,0.0772767996054858,0.125331642877179,0.2417779666470448,0.4597954831198076,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
227,0.0528497246107418,0.1172809178102895,0.1253603662854573,0.0238006576803184,0.0474185208423746,0.0708405378273732,0.1172809178102895,0.2309576648941725,0.448108167922409,0.0276001334020825,0.0529186779294779,0.0773027115330355,0.1253603662854573,0.2418082902903558,0.4598598475881787,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
245,0.0528530974236444,0.1172634157357514,0.1254083874624489,0.0237989252429911,0.0474118885287398,0.0708353640715194,0.1172634157357514,0.2309493188608355,0.4480938491374485,0.0276019012497034,0.0529453069687716,0.0773451277339907,0.1254083874624489,0.2418535491696384,0.4599427785014968,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
264,0.052771347769044,0.1172506576296392,0.1254515412902093,0.0238034677037345,0.0474104595695372,0.0708343991766166,0.1172506576296392,0.2309419303830804,0.4480672515208101,0.0276057768810459,0.0529690849833548,0.0773829015112516,0.1254515412902093,0.2418840530347501,0.4600154446698212,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
284,0.0527709956632728,0.1172515667586904,0.125506787154865,0.0238133924575522,0.0474141592428103,0.0708395483883855,0.1172515667586904,0.2309384019233944,0.4480409320338347,0.0276142614444314,0.0529954149164448,0.077431511408048,0.125506787154865,0.2419361417398586,0.4601137150849582,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
306,0.052850982653349,0.1172504324009998,0.1255578941922838,0.0238248495540113,0.0474209582221111,0.0708478578748864,0.1172504324009998,0.2309367163658226,0.4480056330168176,0.0276241723740626,0.0530292411040785,0.0774835633198609,0.1255578941922838,0.2419778469202949,0.4602224220923046,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
330,0.0529568261060404,0.1172577234150282,0.1256217926345881,0.0238473801230862,0.0474368828656419,0.0708656219359291,0.1172577234150282,0.2309483424661112,0.4479688111362329,0.0276343247089347,0.0530671709392117,0.0775402638018246,0.1256217926345881,0.2420339147596518,0.4603486191377862,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
355,0.0530562593297695,0.1172515104856812,0.1257179319875828,0.0238601402589377,0.0474408559414024,0.0708670892605099,0.1172515104856812,0.2309439235661632,0.4479196555917051,0.0276514734584626,0.0531230407847648,0.077615516032979,0.1257179319875828,0.242126535542037,0.460506830007153,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
383,0.0531616105662081,0.1172315069811662,0.1258097492433399,0.0238683095820325,0.0474376201819618,0.0708516968793829,0.1172315069811662,0.2309187717454599,0.4479012227777036,0.0276794045390621,0.0531797859370851,0.0776927342657899,0.1258097492433399,0.2422330688116508,0.4606812301964553,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
412,0.0535656531766398,0.1171941153156152,0.1259050506332656,0.0238701857326323,0.0474316926508321,0.0708442096383992,0.1171941153156152,0.2308447240840535,0.4478236346652146,0.0276923526814673,0.0532404921474015,0.0777816311485275,0.1259050506332656,0.2423605632016358,0.4608552791644571,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
444,0.0533531699434377,0.117162209712708,0.1261073661880352,0.0238680415804857,0.0474147494595947,0.0708040907689217,0.117162209712708,0.2307908948405303,0.4477563706010233,0.0277435799295452,0.0533406398946951,0.0779343390282215,0.1261073661880352,0.2425494209341078,0.461129546783685,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
478,0.0531380170071221,0.1171327723107908,0.1261670717354791,0.0238587548225052,0.0473989893660871,0.070779455358635,0.1171327723107908,0.2307432596267797,0.4477283625849318,0.0277676084593465,0.0533950851433161,0.077989492358865,0.1261670717354791,0.2426183416818762,0.4612284137041232,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
515,0.0532922713880144,0.1171004310676237,0.1266995466555093,0.0238450404003163,0.0473692940881225,0.0707485266012938,0.1171004310676237,0.2306773278666205,0.4476625311197806,0.0278871615027779,0.0536979450032185,0.0784869990549194,0.1266995466555093,0.2431558368592547,0.461763436611015,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
555,0.0526386378290804,0.117107713002942,0.1268507526481209,0.023850573494922,0.0473645740049986,0.0707420163354719,0.117107713002942,0.2306811034575315,0.447642470991174,0.0279361846621614,0.0537702273038208,0.0786116785243515,0.1268507526481209,0.2433066995763802,0.4619224869457375,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
598,0.0524162532193871,0.1171098233371794,0.126826218552552,0.0238467555990151,0.0473591528035575,0.0707310353356474,0.1171098233371794,0.2306816889405783,0.4476617218021969,0.0279363546106047,0.0537709162893739,0.0785792039638054,0.126826218552552,0.2432845311291906,0.4619223910238688,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
644,0.0521172543217371,0.1171017429495244,0.1268038136928158,0.0238364520439512,0.0473379236668188,0.0707113836685006,0.1171017429495244,0.2306700982043572,0.4476748684605756,0.0279368313376721,0.0537754193006244,0.078552990882457,0.1268038136928158,0.2432592643717323,0.4619273717258553,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
694,0.0517476868149645,0.1170880588907823,0.1267991289693734,0.0238252327009334,0.0473078918399336,0.0706900541413115,0.1170880588907823,0.230649293741126,0.4476869574327811,0.0279404788419105,0.0537933274550613,0.0785426572415628,0.1267991289693734,0.2432431532046742,0.4619540789024535,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
747,0.0517061988869467,0.1170600589712215,0.1274613934764461,0.0237999193027782,0.0472540523744353,0.0706481400525916,0.1170600589712215,0.2305142581753226,0.4475478821305218,0.0281185698146492,0.0541868133361292,0.0791727102763053,0.1274613934764461,0.2439307127411707,0.4626590712531815,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
805,0.0517283174241582,0.1170280396483297,0.1278831459857105,0.0237967155974058,0.0472477476083033,0.0706263692177601,0.1170280396483297,0.230486088753088,0.4474300173769346,0.028271314542163,0.0544504497597751,0.0795512062558653,0.1278831459857105,0.2443782806929264,0.4630851008094807,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
867,0.0517584159590235,0.1170079500870338,0.1278074114643947,0.0237883526720944,0.0472302057418086,0.0706066956225212,0.1170079500870338,0.2304478064869784,0.4474070808469925,0.0282369764481685,0.0544138743257301,0.0794655116431059,0.1278074114643947,0.2443195647478704,0.4630332046753922,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
934,0.0519411300820689,0.1169813490902705,0.127761687967522,0.0237794905533089,0.0472066618782214,0.07058528688395,0.1169813490902705,0.2303945835867063,0.4473730203036797,0.0282163348605861,0.0543972527691419,0.0794146450358883,0.127761687967522,0.2442957934827993,0.4630456717547673,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
1006,0.0523250596698098,0.1169225696133797,0.1284266750331446,0.0237584760392403,0.047176202968891,0.0705494032577405,0.1169225696133797,0.2302621940237667,0.4472296497333268,0.0283560504034944,0.0547682758309752,0.0800500259681714,0.1284266750331446,0.2450492716859134,0.4637723795009528,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
1083,0.0524797304118021,0.116787843757554,0.1322623046435456,0.0237827064718523,0.0471803445130089,0.0704654025044481,0.116787843757554,0.2297141932033395,0.4463483954500026,0.0295318871872592,0.0569980297859907,0.0834971704120702,0.1322623046435456,0.2491194782126538,0.4675612791139161,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
1167,0.052090517660087,0.1167801574579582,0.1317999049110495,0.0237762033346672,0.0471546874754165,0.070451838240332,0.1167801574579582,0.2296727136042569,0.4464488790146559,0.0294022440469758,0.0567414688258493,0.083015913501892,0.1317999049110495,0.248673334499277,0.4672913934278326,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
1257,0.0528020161193274,0.1165974999838925,0.1340277417006216,0.0237051605300103,0.0470787650419101,0.0703574517382461,0.1165974999838925,0.229343647173313,0.446084883282367,0.0299326420831965,0.0577338371849587,0.0846895861625889,0.1340277417006216,0.2510855901740074,0.4692558253217531,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
1354,0.052668449478009,0.116567477283448,0.1337341217552736,0.0236879317171732,0.0470416637251641,0.0703223418246105,0.116567477283448,0.2293541311593534,0.4462056156296954,0.0298032957205005,0.0575353864435752,0.0843548743436259,0.1337341217552736,0.2508332781946923,0.4691631345167809,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
1459,0.0496119908354587,0.1162225225639081,0.1456054068036165,0.0235475127554877,0.0468828964584346,0.0700438537663895,0.1162225225639081,0.2286362912316552,0.4448979257668683,0.0329312060657382,0.0635709588459676,0.0938087048547342,0.1456054068036165,0.2632236109670737,0.4791910418024463,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
1571,0.0497169124983828,0.1162240482161009,0.1441060041891874,0.023566058489693,0.0469422155354781,0.0701177266737269,0.1162240482161009,0.2287251231761315,0.4449704001800679,0.032442140913221,0.0626062723807473,0.0920418496025839,0.1441060041891874,0.261825285260535,0.4782552504989077,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
1692,0.0512248694032415,0.1157005125306232,0.1550418056331059,0.023411475537345,0.0468010713969605,0.0698450033452383,0.1157005125306232,0.2280588739371223,0.4438842074750715,0.0350788858543734,0.0677899311047599,0.0996184826004217,0.1550418056331059,0.27435624903266,0.487975293079091,transformer_mul97_f0.5_wd1.0_softmax_ce_s0,mul,1900
