run,model,operation,modulus,train_fraction,weight_decay,seed,circularity,circularity_column,h1_max_persistence__ratio,h1_max_persistence_normalised__ratio,h1_total_persistence_normalised__ratio,test_acc__final
transformer_add97_f0.3_wd0.3_softmax_ce_s0,transformer,add,97,0.3,0.3,0,0.3991442249293097,fourier_concentration_k5,1.1184172677789108,0.9876177053219255,1.071419897738416,0.994837522506714
transformer_add97_f0.3_wd0.3_softmax_ce_s1,transformer,add,97,0.3,0.3,1,0.3131302829539761,fourier_concentration_k5,0.5409569580889065,0.7235231768844428,1.2698564669594932,1.0
transformer_add97_f0.3_wd0.3_softmax_ce_s2,transformer,add,97,0.3,0.3,2,0.3216230472040032,fourier_concentration_k5,0.633234692506589,0.8229848081517435,1.9047490136889365,1.0
transformer_add97_f0.3_wd0.3_softmax_ce_s3,transformer,add,97,0.3,0.3,3,0.2789160381030834,fourier_concentration_k5,0.7453439586902033,0.8778145743405158,1.3182763075333634,1.0
transformer_add97_f0.3_wd0.3_softmax_ce_s4,transformer,add,97,0.3,0.3,4,0.3012196237858726,fourier_concentration_k5,0.6616076027039792,0.8447014054271509,1.2644404694606781,1.0
transformer_add97_f0.3_wd1.0_softmax_ce_s0,transformer,add,97,0.3,1.0,0,0.2412654871544454,fourier_concentration_k5,1.209967493067307,1.2091118833356345,1.6579035560594824,1.0
transformer_add97_f0.3_wd1.0_softmax_ce_s1,transformer,add,97,0.3,1.0,1,0.2494681814420685,fourier_concentration_k5,0.8688833483951094,0.907013910343647,0.9570062523383844,1.0
transformer_add97_f0.3_wd1.0_softmax_ce_s2,transformer,add,97,0.3,1.0,2,0.2569721975077983,fourier_concentration_k5,1.0918934009113925,1.1716242593902648,3.400348699418392,1.0
transformer_add97_f0.3_wd1.0_softmax_ce_s3,transformer,add,97,0.3,1.0,3,0.2556247820354627,fourier_concentration_k5,0.9086106289461077,0.8806260554151021,1.4366813332289958,1.0
transformer_add97_f0.3_wd1.0_softmax_ce_s4,transformer,add,97,0.3,1.0,4,0.2811364482142584,fourier_concentration_k5,0.8483782597197783,1.0854264170867567,3.8028069027083804,1.0
transformer_add97_f0.3_wd3.0_softmax_ce_s0,transformer,add,97,0.3,3.0,0,0.1297840096751687,fourier_concentration_k5,0.33256522210268663,0.33021899087428247,0.08915047038958282,1.0
transformer_add97_f0.3_wd3.0_softmax_ce_s1,transformer,add,97,0.3,3.0,1,0.1396657393637137,fourier_concentration_k5,0.330617186559719,0.3471656348415727,0.09983046204769169,1.0
transformer_add97_f0.3_wd3.0_softmax_ce_s2,transformer,add,97,0.3,3.0,2,0.1396920850670376,fourier_concentration_k5,0.34192180170610975,0.3297753440223136,0.13207888917467017,1.0
transformer_add97_f0.3_wd3.0_softmax_ce_s3,transformer,add,97,0.3,3.0,3,0.1167374743626925,fourier_concentration_k5,0.16942882864756428,0.19300226071205842,0.04274654385009632,1.0
transformer_add97_f0.3_wd3.0_softmax_ce_s4,transformer,add,97,0.3,3.0,4,0.1368791569618209,fourier_concentration_k5,0.36370894931118797,0.34929389505887964,0.14346410948114655,1.0
transformer_add97_f0.4_wd0.0_softmax_ce_s0,transformer,add,97,0.4,0.0,0,0.1693967085713115,fourier_concentration_k5,1.5164937437523698,1.522648846467533,0.9722354092697271,0.9883082509040833
transformer_add97_f0.4_wd0.0_softmax_ce_s1,transformer,add,97,0.4,0.0,1,0.3499231678083568,fourier_concentration_k5,0.9624148054695244,0.9910888861383316,1.33963400760315,0.97360497713089
transformer_add97_f0.4_wd0.0_softmax_ce_s3,transformer,add,97,0.4,0.0,3,0.1758926856496888,fourier_concentration_k5,0.9884498889954058,0.9886170888740143,0.8017339087263065,0.961736023426056
transformer_add97_f0.4_wd0.0_stablemax_ce_s3,transformer,add,97,0.4,0.0,3,0.3966817508890788,fourier_concentration_k5,1.1050806718596529,0.9883500229040859,1.718260188751262,0.9989371299743652
transformer_add97_f0.4_wd1.0_softmax_ce_s0,transformer,add,97,0.4,1.0,0,0.2347363101139236,fourier_concentration_k5,0.664789989321529,0.8323371464004539,3.046014288484369,1.0
transformer_add97_f0.4_wd1.0_softmax_ce_s1,transformer,add,97,0.4,1.0,1,0.2743482655321146,fourier_concentration_k5,0.7398790417147293,1.0152570934078067,2.6303277742097166,1.0
transformer_add97_f0.4_wd1.0_softmax_ce_s2,transformer,add,97,0.4,1.0,2,0.3320738657899126,fourier_concentration_k5,0.21034431851503343,1.3518502231636247,2.610022689097712,1.0
