stage,step,dim,birth,death,scale,run,t_g
memorising,3025,0,0.0,5.5128021240234375,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.531003952026367,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.535292625427246,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.54353141784668,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.5457563400268555,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.551655292510986,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.552334785461426,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.553903102874756,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.554871559143066,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.557992458343506,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.558263301849365,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.561856269836426,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.561966419219971,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.563012599945068,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.575762748718262,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.583670139312744,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.616305828094482,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.618510723114014,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.63758659362793,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.646360397338867,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.646531105041504,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
memorising,3025,0,0.0,5.646581649780273,6.106058120727539,transformer_add113_f0.3_wd0.1_softmax_ce_s0,13000
