run,model,t_g,stage,step,pca_dim,depth,layer,draw,diameter,n_points,betti_1,life_1,betti_2,life_2,condition,regime
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,init,0,2,1,hook_hidden,2,3.0470377770864423,300.0,0.0,0.0435714870082574,0.0,0.0,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,init,0,2,2,logits,0,1.2863203152006095,300.0,0.0,0.0330837681782397,0.0,0.0,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,init,0,2,2,logits,1,1.2863203152006095,300.0,0.0,0.0267999632950601,0.0,0.0002825823951364,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,init,0,2,2,logits,2,1.2863203152006095,300.0,0.0,0.0249072080281015,0.0,0.0,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,8,0,operands,0,4.414227204089164,300.0,0.0,0.1017085111000823,0.0,0.0580304393380098,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,8,0,operands,1,4.386386072289568,300.0,0.0,0.1020457478704773,0.0,0.0598474169019689,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,8,0,operands,2,4.414227204089164,300.0,0.0,0.0947747709715499,0.0,0.0661315548011507,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,8,1,hook_hidden,0,24.87679562349005,300.0,0.0,0.10534390601802,1.0,0.0516988345570178,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,8,1,hook_hidden,1,25.609180188791623,300.0,0.0,0.0727388935637276,0.0,0.0580494183676439,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,8,1,hook_hidden,2,25.49883661858923,300.0,0.0,0.0760544899735833,0.0,0.0527554439484977,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,8,2,logits,0,164.1159761610739,300.0,0.0,0.0822987653106627,0.0,0.0492217491428574,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,8,2,logits,1,163.2847177380025,300.0,0.0,0.0846087228692892,0.0,0.0480913876224735,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,8,2,logits,2,164.1159761610739,300.0,0.0,0.0695255617340395,1.0,0.0501782593550238,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,4,0,operands,0,3.6796429891985545,300.0,0.0,0.1081661665762061,0.0,0.0721911114081369,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,4,0,operands,1,3.70103392991888,300.0,0.0,0.0929930548277327,0.0,0.0758148670199585,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,4,0,operands,2,3.716211300228106,300.0,0.0,0.1072310955871479,0.0,0.0724211072933512,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,4,1,hook_hidden,0,22.60114724177816,300.0,0.0,0.0604127286931264,0.0,0.044628869655912,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,4,1,hook_hidden,1,22.500714425914524,300.0,0.0,0.0696875697224981,0.0,0.0371569809212492,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,4,1,hook_hidden,2,22.64105224352566,300.0,0.0,0.067419882030475,0.0,0.0451965438208865,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,4,2,logits,0,159.91933196782017,300.0,0.0,0.0636004671149691,0.0,0.0405036930332343,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,4,2,logits,1,159.91933196782017,300.0,0.0,0.0534909284935402,0.0,0.043681936889203,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,4,2,logits,2,159.91933196782017,300.0,0.0,0.057344070302172,0.0,0.0418078922384397,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,2,0,operands,0,2.697537159909976,300.0,2.0,0.2537542255529589,1.0,0.1980771945688713,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,2,0,operands,1,2.771050752612662,300.0,2.0,0.2466946645095714,1.0,0.2077216735427819,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,2,0,operands,2,2.753370488648744,300.0,2.0,0.2538002025938323,1.0,0.2083850202896744,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,2,1,hook_hidden,0,21.40498616952174,300.0,0.0,0.0317027355410098,0.0,0.0,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,2,1,hook_hidden,1,21.40498616952174,300.0,0.0,0.0230921769978583,0.0,0.0,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
mlp_add97_f0.3_wd1.0_softmax_ce_s0,mlp,14300,before,12594,2,1,hook_hidden,2,21.40498616952174,300.0,0.0,0.0286276880217294,0.0,0.0,mlp_add97_f0.3_wd1.0_softmax_ce,mlp
