regime,axis,step,scale,betti1,t_g,run
reference,raw,504,4.364270435621616,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,4.6386360770914985,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,4.9302500780133425,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,5.240196779349782,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,5.569628690594284,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,5.919770775276144,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,6.291925005879401,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,6.687475205112781,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,7.107892191532497,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,7.554739248651403,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,8.029677937870993,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,8.534474276851011,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,9.07100530629051,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,9.64126606953824,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,10.247377030985547,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,10.891591960826302,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,11.576306315502789,3,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,12.304066144999322,17,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,13.077577560104784,2,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,13.89971679484705,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,14.773540901515803,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,504,15.702299118041992,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,0.3371385931968689,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,0.35833325740276323,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,0.38086035224657716,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,0.40480364274518565,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,0.4302521599141975,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,0.45730053182194047,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,0.48604933545559387,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,0.5166054707078515,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,0.5490825578747519,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,0.5836013601427356,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,0.6202902326359111,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,0.659285599693272,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,0.700732462150579,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,0.7447849365131879,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,0.7916068280246932,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,0.8413722397622906,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,0.8942662200237249,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,0.9504854504130783,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,1.0102389771839806,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,1.0737489885596805,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,1.1412516409203728,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,1.2129979369298853,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,1.2892546588669638,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,1.3703053606316644,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,1.4564514221155411,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,1.5480131698562114,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,1.6453310681433577,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,1.7487669850051824,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,1.8587055377827804,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,1.9755555232958246,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,2.099751437917514,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,2.2317550932110453,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,2.37205733313521,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,2.5211798592043992,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,2.6796771703897075,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,2.8481386249744878,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,3.027190632031188,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,3.2174989806682848,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,3.419771315708404,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,3.634759769003233,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,3.8632637561695193,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,4.106132949145602,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,4.364270435621616,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,4.6386360770914985,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,4.9302500780133425,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,5.240196779349782,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,5.569628690594284,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,5.919770775276144,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,6.291925005879401,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,6.687475205112781,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,7.107892191532497,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,7.554739248651403,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,8.029677937870993,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,8.534474276851011,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,9.07100530629051,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,9.64126606953824,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,10.247377030985547,16,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,10.891591960826302,15,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,11.576306315502789,1,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,12.304066144999322,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,13.077577560104784,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,13.89971679484705,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,14.773540901515803,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1008,15.702299118041992,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,0.3371385931968689,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,0.35833325740276323,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,0.38086035224657716,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,0.40480364274518565,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,0.4302521599141975,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,0.45730053182194047,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,0.48604933545559387,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,0.5166054707078515,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,0.5490825578747519,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,0.5836013601427356,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,0.6202902326359111,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,0.659285599693272,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,0.700732462150579,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,0.7447849365131879,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,0.7916068280246932,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,0.8413722397622906,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,0.8942662200237249,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,0.9504854504130783,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,1.0102389771839806,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,1.0737489885596805,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,1.1412516409203728,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,1.2129979369298853,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,1.2892546588669638,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,1.3703053606316644,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,1.4564514221155411,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,1.5480131698562114,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,1.6453310681433577,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,1.7487669850051824,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,1.8587055377827804,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,1.9755555232958246,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,2.099751437917514,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,2.2317550932110453,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,2.37205733313521,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,2.5211798592043992,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,2.6796771703897075,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,2.8481386249744878,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,3.027190632031188,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,3.2174989806682848,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,3.419771315708404,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,3.634759769003233,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,3.8632637561695193,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,4.106132949145602,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,4.364270435621616,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,4.6386360770914985,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,4.9302500780133425,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,5.240196779349782,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,5.569628690594284,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,5.919770775276144,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,6.291925005879401,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,6.687475205112781,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,7.107892191532497,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,7.554739248651403,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,8.029677937870993,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,8.534474276851011,5,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,9.07100530629051,19,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,9.64126606953824,2,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,10.247377030985547,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,10.891591960826302,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,11.576306315502789,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,12.304066144999322,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,13.077577560104784,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,13.89971679484705,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,14.773540901515803,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,1513,15.702299118041992,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,2017,0.3371385931968689,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,2017,0.35833325740276323,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,2017,0.38086035224657716,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,2017,0.40480364274518565,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,2017,0.4302521599141975,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,2017,0.45730053182194047,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,2017,0.48604933545559387,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,2017,0.5166054707078515,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,2017,0.5490825578747519,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,2017,0.5836013601427356,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,2017,0.6202902326359111,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,2017,0.659285599693272,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,2017,0.700732462150579,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,2017,0.7447849365131879,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,2017,0.7916068280246932,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,2017,0.8413722397622906,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,2017,0.8942662200237249,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,2017,0.9504854504130783,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,2017,1.0102389771839806,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,2017,1.0737489885596805,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,2017,1.1412516409203728,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
reference,raw,2017,1.2129979369298853,0,13000,transformer_add113_f0.3_wd0.1_softmax_ce_s0
