regime,estimator,atom,bits,share,ci_lo,ci_hi,null_median,null_p,total,n,n_configurations,n_effective,target,source_a,source_b
pooled,gaussian_mmi__ratio,redundant,0.13089142093168477,0.7898252182730608,0.0005915089144277391,0.3424525362597801,0.005835965947434907,0.01199400299850075,0.16572200773466894,74,19,22.34975859955167,log10 t_g,h1_max_persistence_normalised__ratio,circularity
pooled,gaussian_mmi__ratio,unique_a,0.0,0.0,0.0,0.15860284340388564,0.0,1.0,0.16572200773466894,74,19,22.34975859955167,log10 t_g,h1_max_persistence_normalised__ratio,circularity
pooled,gaussian_mmi__ratio,unique_b,0.026559470902637994,0.16026520113829015,0.0,0.17918681276744805,0.0003306192661442983,0.13993003498250875,0.16572200773466894,74,19,22.34975859955167,log10 t_g,h1_max_persistence_normalised__ratio,circularity
pooled,gaussian_mmi__ratio,synergistic,0.008271115900346182,0.049909580588649055,1.2820048289760924e-05,0.04738994782510077,0.004102758508027979,0.3793103448275862,0.16572200773466894,74,19,22.34975859955167,log10 t_g,h1_max_persistence_normalised__ratio,circularity
pooled,gaussian_mmi__terminal,redundant,0.08220073039532518,0.5220612297225362,0.00020054082322950965,0.30332241161895895,0.005059481799856928,0.027486256871564217,0.15745419448023945,74,19,21.25238426365145,log10 t_g,h1_max_persistence_normalised__ratio,circularity
pooled,gaussian_mmi__terminal,unique_a,0.0,0.0,0.0,0.08996974329021137,0.0,1.0,0.15745419448023945,74,19,21.25238426365145,log10 t_g,h1_max_persistence_normalised__ratio,circularity
pooled,gaussian_mmi__terminal,unique_b,0.07525016143899758,0.47791779499682685,0.0,0.23589217277821875,0.0003496780378667644,0.033483258370814596,0.15745419448023945,74,19,21.25238426365145,log10 t_g,h1_max_persistence_normalised__ratio,circularity
pooled,gaussian_mmi__terminal,synergistic,3.3026459166918265e-06,2.097528063697477e-05,1.5678806744955783e-05,0.05737621972564764,0.004556336303040559,0.9825087456271864,0.15745419448023945,74,19,21.25238426365145,log10 t_g,h1_max_persistence_normalised__ratio,circularity
pooled,williams_beer__ratio,redundant,0.2036956125915144,0.3830496385420124,,,0.11787335840544882,0.1089455272363818,0.531773410273492,74,19,22.34975859955167,log10 t_g,h1_max_persistence_normalised__ratio,circularity
pooled,williams_beer__ratio,unique_a,0.0675395956323058,0.1270082225389383,,,0.03025215085421514,0.20589705147426288,0.531773410273492,74,19,22.34975859955167,log10 t_g,h1_max_persistence_normalised__ratio,circularity
pooled,williams_beer__ratio,unique_b,0.01832413331860186,0.03445853621973638,,,0.049197834491998216,0.791104447776112,0.531773410273492,74,19,22.34975859955167,log10 t_g,h1_max_persistence_normalised__ratio,circularity
pooled,williams_beer__ratio,synergistic,0.24221406873106996,0.45548360269931293,,,0.21998976982667368,0.27936031984008,0.531773410273492,74,19,22.34975859955167,log10 t_g,h1_max_persistence_normalised__ratio,circularity
pooled,williams_beer__terminal,redundant,0.18026043391368984,0.30534482697266246,,,0.10217084491632222,0.09845077461269365,0.5903503776398628,74,19,21.25238426365145,log10 t_g,h1_max_persistence_normalised__ratio,circularity
pooled,williams_beer__terminal,unique_a,0.05173169052634197,0.08762879213045978,,,0.02473367364840924,0.25487256371814093,0.5903503776398628,74,19,21.25238426365145,log10 t_g,h1_max_persistence_normalised__ratio,circularity
pooled,williams_beer__terminal,unique_b,0.04175931199642641,0.07073648731008562,,,0.06684868078786647,0.6991504247876063,0.5903503776398628,74,19,21.25238426365145,log10 t_g,h1_max_persistence_normalised__ratio,circularity
pooled,williams_beer__terminal,synergistic,0.31659894120340454,0.5362898935867921,,,0.26127826932629095,0.09895052473763119,0.5903503776398628,74,19,21.25238426365145,log10 t_g,h1_max_persistence_normalised__ratio,circularity
canonical,gaussian_mmi__ratio,redundant,0.06934466561942285,0.16573876599387616,0.00010663790782610219,0.38718778036820434,0.013161851198158492,0.15442278860569716,0.4183973809843923,32,8,9.791657868734013,log10 t_g,h1_max_persistence_normalised__ratio,circularity
canonical,gaussian_mmi__ratio,unique_a,0.3404174541449764,0.8136223351686687,0.013134897789351197,0.554152512033608,0.0029341224420107864,0.005997001499250375,0.4183973809843923,32,8,9.791657868734013,log10 t_g,h1_max_persistence_normalised__ratio,circularity
canonical,gaussian_mmi__ratio,unique_b,0.0,0.0,0.0,0.0,0.0,1.0,0.4183973809843923,32,8,9.791657868734013,log10 t_g,h1_max_persistence_normalised__ratio,circularity
canonical,gaussian_mmi__ratio,synergistic,0.008635261219993029,0.02063889883745509,3.0463243665888874e-05,0.10769423299090755,0.009612691038113824,0.526736631684158,0.4183973809843923,32,8,9.791657868734013,log10 t_g,h1_max_persistence_normalised__ratio,circularity
canonical,gaussian_mmi__terminal,redundant,0.06934466561942285,0.28880724565975585,0.00010663790782610219,0.3434873437743775,0.011543528203319234,0.1409295352323838,0.24010708408998116,32,8,9.145018768963716,log10 t_g,h1_max_persistence_normalised__ratio,circularity
canonical,gaussian_mmi__terminal,unique_a,0.16776375490373416,0.6987038951373212,0.0,0.35657330228101597,0.0,0.0239880059970015,0.24010708408998116,32,8,9.145018768963716,log10 t_g,h1_max_persistence_normalised__ratio,circularity
